sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,pole,residue,multiplicity_pole,poles_all
44.14972972972972,2,0,[1.],[-2.32845219e-04 -3.97516364e-02  1.00000000e+00],"[1.0, 0.0397516363735052, 0.001813037813214, 8.132719835303898e-05]","[1, 0.0397516363735052, 0.001813037813214, 8.730331718770576e-05]","[0.0, 0.0, 0.0, 5.976118834666782e-06]",0.0,(22.255051530314088+0j),(-19.953866237691884+0j),[1],"[array([  22.25505153, -192.97634257])]"
44.14972972972972,2,1,[-0.02566563  1.        ],[ 7.87405504e-04 -6.54172647e-02  1.00000000e+00],"[1.0, 0.0397516363735052, 0.001813037813214, 8.730331718770578e-05]","[1, 0.0397516363735052, 0.001813037813214, 8.730331718770576e-05]","[0.0, 0.0, 0.0, -1.3552527156068805e-20]",-1.3552527156068805e-20,(20.195959321455593+0j),(-14.329752167635135+0j),[1],"[array([20.19595932, 62.88355222])]"
44.14972972972972,3,0,[1.],[-5.97611883e-06 -2.32845219e-04 -3.97516364e-02  1.00000000e+00],"[1.0, 0.0397516363735052, 0.001813037813214, 8.730331718770575e-05]","[1, 0.0397516363735052, 0.001813037813214, 8.730331718770576e-05]","[0.0, 0.0, 0.0, 1.3552527156068805e-20]",1.3552527156068805e-20,(21.12494500620172+0j),(-17.364098934813295-0j),[1],"[array([ 21.12494501 +0.j        , -30.04378013+83.77628339j,
       -30.04378013-83.77628339j])]"
44.24981981981981,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]",0.0,,,[],[]
44.24981981981981,0,1,[0.03966345 1.        ],[1.],"[1.0, 0.0396634504235094, 0.0, 0.0]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.0018050518849287, 8.672997556037279e-05]",0.0,,,[],[]
44.24981981981981,0,2,[0.00180505 0.03966345 1.        ],[1.],"[1.0, 0.0396634504235094, 0.0018050518849287, 0.0]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.0, 8.672997556037279e-05]",0.0,,,[],[]
44.24981981981981,0,3,[8.67299756e-05 1.80505188e-03 3.96634504e-02 1.00000000e+00],[1.],"[1.0, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
44.24981981981981,1,0,[1.],[-0.03966345  1.        ],"[1.0, 0.0396634504235094, 0.0015731892994981878, 6.239811578744184e-05]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.00023186258543051222, 2.4331859772930945e-05]",0.0,(25.212128277354257+0j),(-25.212128277354257+0j),[1],[array([25.21212828])]
44.24981981981981,1,1,[-0.00584575  1.        ],[-0.0455092  1.       ],"[1.0, 0.0396634504235094, 0.0018050518849287, 8.214646664611506e-05]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.0, 4.583508914257734e-06]",0.0,(21.973579127935214+0j),(-19.15102820277649+0j),[1],[array([21.97357913])]
44.24981981981981,1,2,[-1.00716096e-04 -8.38501637e-03  1.00000000e+00],[-0.04804847  1.        ],"[1.0, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(20.812318616096025+0j),(-16.272380376711137+0j),[1],[array([20.81231862])]
44.24981981981981,2,0,[1.],[-2.31862585e-04 -3.96634504e-02  1.00000000e+00],"[1.0, 0.0396634504235094, 0.0018050518849287, 8.079105611202152e-05]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.0, 5.938919448351273e-06]",0.0,(22.304041767670462+0j),(-19.997441925983466+0j),[1],"[array([  22.30404177, -193.36851235])]"
44.24981981981981,2,1,[-0.02561396  1.        ],[ 7.84075526e-04 -6.52774124e-02  1.00000000e+00],"[1.0, 0.0396634504235094, 0.0018050518849287002, 8.67299755603728e-05]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, -2.168404344971009e-19, -1.3552527156068805e-20]",-1.3552527156068805e-20,(20.239632391455928+0j),(-14.359056699162728+0j),[1],"[array([20.23963239, 63.01435304])]"
44.24981981981981,3,0,[1.],[-5.93891945e-06 -2.31862585e-04 -3.96634504e-02  1.00000000e+00],"[1.0, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[1, 0.0396634504235094, 0.0018050518849287, 8.672997556037279e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(21.17111817413006+0j),(-17.40135436081424-0j),[1],"[array([ 21.17111817 +0.j      , -30.10616275+83.946082j,
       -30.10616275-83.946082j])]"
44.349909909909904,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]",0.0,,,[],[]
44.349909909909904,0,1,[0.03957565 1.        ],[1.],"[1.0, 0.0395756512752584, 0.0, 0.0]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0017971181848511998, 8.616160366227821e-05]",0.0,,,[],[]
44.349909909909904,0,2,[0.00179712 0.03957565 1.        ],[1.],"[1.0, 0.0395756512752584, 0.0017971181848511998, 0.0]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0, 8.616160366227821e-05]",0.0,,,[],[]
44.349909909909904,0,3,[8.61616037e-05 1.79711818e-03 3.95756513e-02 1.00000000e+00],[1.],"[1.0, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
44.349909909909904,1,0,[1.],[-0.03957565  1.        ],"[1.0, 0.0395756512752584, 0.001566232173860862, 6.198465832880737e-05]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0002308860109903378, 2.417694533347084e-05]",0.0,(25.26806174444872+0j),(-25.26806174444872+0j),[1],[array([25.26806174])]
44.349909909909904,1,1,[-0.00583404  1.        ],[-0.04540969  1.        ],"[1.0, 0.0395756512752584, 0.0017971181848511998, 8.1606585520475e-05]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0, 4.555018141803204e-06]",0.0,(22.02172990561288+0j),(-19.192472811742572+0j),[1],[array([22.02172991])]
44.349909909909904,1,2,[-1.00309379e-04 -8.36866557e-03  1.00000000e+00],[-0.04794432  1.        ],"[1.0, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(20.857529438463587+0j),(-16.30666819910086+0j),[1],[array([20.85752944])]
44.349909909909904,2,0,[1.],[-2.30886011e-04 -3.95756513e-02  1.00000000e+00],"[1.0, 0.0395756512752584, 0.0017971181848511998, 8.025958683938554e-05]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0, 5.9020168228926734e-06]",0.0,(22.35303498616072+0j),(-20.041020988572093+0j),[1],"[array([  22.35303499, -193.76078336])]"
44.349909909909904,2,1,[-0.02556247  1.        ],[ 7.80765403e-04 -6.51381217e-02  1.00000000e+00],"[1.0, 0.0395756512752584, 0.0017971181848512002, 8.616160366227826e-05]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, -4.336808689942018e-19, -5.421010862427522e-20]",-5.421010862427522e-20,(20.283311798442583+0j),(-14.388373684007613+0j),[1],"[array([20.2833118, 63.1452333])]"
44.349909909909904,3,0,[1.],[-5.90201682e-06 -2.30886011e-04 -3.95756513e-02  1.00000000e+00],"[1.0, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[1, 0.0395756512752584, 0.0017971181848511998, 8.616160366227821e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(21.217295511674134+0j),(-17.438615549470615-0j),[1],"[array([ 21.21729551 +0.j        , -30.1685726 +84.11595342j,
       -30.1685726 -84.11595342j])]"
44.45,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]",0.0,,,[],[]
44.45,0,1,[0.03948824 1.        ],[1.],"[1.0, 0.0394882364121406, 0.0, 0.0]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0017892362620458, 8.559815237928672e-05]",0.0,,,[],[]
44.45,0,2,[0.00178924 0.03948824 1.        ],[1.],"[1.0, 0.0394882364121406, 0.0017892362620458, 0.0]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0, 8.559815237928672e-05]",0.0,,,[],[]
44.45,0,3,[8.55981524e-05 1.78923626e-03 3.94882364e-02 1.00000000e+00],[1.],"[1.0, 0.0394882364121406, 0.0017892362620458, 8.559815237928674e-05]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0, -1.3552527156068805e-20]",-1.3552527156068805e-20,,,[],[]
44.45,1,0,[1.],[-0.03948824  1.        ],"[1.0, 0.0394882364121406, 0.0015593208149411069, 6.157482898276617e-05]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.00022991544710469314, 2.402332339652055e-05]",0.0,(25.323997495430092+0j),(-25.323997495430092+0j),[1],[array([25.3239975])]
44.45,1,1,[-0.00582238  1.        ],[-0.04531061  1.        ],"[1.0, 0.0394882364121406, 0.0017892362620458, 8.107139473150468e-05]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0, 4.526757647782041e-06]",0.0,(22.06988381008444+0j),(-19.23392116424449+0j),[1],[array([22.06988381])]
44.45,1,2,[-9.99050153e-05 -8.35237256e-03  1.00000000e+00],[-0.04784061  1.        ],"[1.0, 0.0394882364121406, 0.0017892362620458, 8.559815237928671e-05]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0, 1.3552527156068805e-20]",1.3552527156068805e-20,(20.902743953136593+0j),(-16.340961001169763+0j),[1],[array([20.90274395])]
44.45,2,0,[1.],[-2.29915447e-04 -3.94882364e-02  1.00000000e+00],"[1.0, 0.0394882364121406, 0.0017892362620458, 7.973274004291244e-05]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0, 5.865412336374286e-06]",0.0,(22.402031167538144+0j),(-20.084603404854217+0j),[1],"[array([  22.40203117, -194.15315494])]"
44.45,2,1,[-0.02551117  1.        ],[ 7.77475713e-04 -6.49994076e-02  1.00000000e+00],"[1.0, 0.0394882364121406, 0.0017892362620458, 8.559815237928674e-05]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0, -1.3552527156068805e-20]",-1.3552527156068805e-20,(20.32699530956862+0j),(-14.417696900954992+0j),[1],"[array([20.32699531, 63.2761405 ])]"
44.45,3,0,[1.],[-5.86541234e-06 -2.29915447e-04 -3.94882364e-02  1.00000000e+00],"[1.0, 0.0394882364121406, 0.0017892362620458, 8.559815237928674e-05]","[1, 0.0394882364121406, 0.0017892362620458, 8.559815237928672e-05]","[0.0, 0.0, 0.0, -1.3552527156068805e-20]",-1.3552527156068805e-20,(21.263476287332473+0j),(-17.47588098459217-0j),[1],"[array([ 21.26347629 +0.j        , -30.2309951 +84.28586979j,
       -30.2309951 -84.28586979j])]"
44.55009009009009,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]",0.0,,,[],[]
44.55009009009009,0,1,[0.0394012 1.       ],[1.],"[1.0, 0.0394012033391386, 0.0, 0.0]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0017814056703975, 8.503956984853172e-05]",0.0,,,[],[]
44.55009009009009,0,2,[0.00178141 0.0394012  1.        ],[1.],"[1.0, 0.0394012033391386, 0.0017814056703975, 0.0]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0, 8.503956984853172e-05]",0.0,,,[],[]
44.55009009009009,0,3,[8.50395698e-05 1.78140567e-03 3.94012033e-02 1.00000000e+00],[1.],"[1.0, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
44.55009009009009,1,0,[1.],[-0.0394012  1.       ],"[1.0, 0.0394012033391386, 0.0015524548245721469, 6.116858821779391e-05]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.00022895084582535302, 2.387098163073781e-05]",0.0,(25.379935515996408+0j),(-25.379935515996408+0j),[1],[array([25.37993552])]
44.55009009009009,1,1,[-0.00581076  1.        ],[-0.04521196  1.        ],"[1.0, 0.0394012033391386, 0.0017814056703975, 8.054084377093402e-05]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0, 4.498726077597701e-06]",0.0,(22.118040822417885+0j),(-19.27537323780068+0j),[1],[array([22.11804082])]
44.55009009009009,1,2,[-9.95030070e-05 -8.33613761e-03  1.00000000e+00],[-0.04773734  1.        ],"[1.0, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(20.947961914323553+0j),(-16.37525822841783+0j),[1],[array([20.94796191])]
44.55009009009009,2,0,[1.],[-2.28950846e-04 -3.94012033e-02  1.00000000e+00],"[1.0, 0.0394012033391386, 0.0017814056703975, 7.921046587985892e-05]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0, 5.829103968672797e-06]",0.0,(22.451030293693343+0j),(-20.12818915437678+0j),[1],"[array([  22.45103029, -194.54562639])]"
44.55009009009009,2,1,[-0.02546007  1.        ],[ 7.74206447e-04 -6.48612708e-02  1.00000000e+00],"[1.0, 0.0394012033391386, 0.0017814056703975, 8.503956984853168e-05]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0, 4.0657581468206416e-20]",4.0657581468206416e-20,(20.37068242187294+0j),(-14.447024972698038+0j),[1],"[array([20.37068242, 63.40706314])]"
44.55009009009009,3,0,[1.],[-5.82910397e-06 -2.28950846e-04 -3.94012033e-02  1.00000000e+00],"[1.0, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[1, 0.0394012033391386, 0.0017814056703975, 8.503956984853172e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(21.309660326335983+0j),(-17.51315031748481-0j),[1],"[array([ 21.30966033 +0.j        , -30.29342703+84.45582484j,
       -30.29342703-84.45582484j])]"
44.65018018018017,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]",0.0,,,[],[]
44.65018018018017,0,1,[0.03931455 1.        ],[1.],"[1.0, 0.0393145495826018, 0.0, 0.0]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.0017736259685496, 8.448580322489355e-05]",0.0,,,[],[]
44.65018018018017,0,2,[0.00177363 0.03931455 1.        ],[1.],"[1.0, 0.0393145495826018, 0.0017736259685496, 0.0]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.0, 8.448580322489355e-05]",0.0,,,[],[]
44.65018018018017,0,3,[8.44858032e-05 1.77362597e-03 3.93145496e-02 1.00000000e+00],[1.],"[1.0, 0.0393145495826018, 0.0017736259685496, 8.448580322489357e-05]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.0, -1.3552527156068805e-20]",-1.3552527156068805e-20,,,[],[]
44.65018018018017,1,0,[1.],[-0.03931455  1.        ],"[1.0, 0.0393145495826018, 0.0015456338088828553, 6.0765897015870686e-05]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.00022799215966674466, 2.371990620902287e-05]",0.0,(25.435875791962232+0j),(-25.435875791962232+0j),[1],[array([25.43587579])]
44.65018018018017,1,1,[-0.00579918  1.        ],[-0.04511373  1.        ],"[1.0, 0.0393145495826018, 0.0017736259685496001, 8.00148827777903e-05]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, -2.168404344971009e-19, 4.470920447103251e-06]",-2.168404344971009e-19,(22.166200923834946+0j),(-19.31682901011356+0j),[1],[array([22.16620092])]
44.65018018018017,1,2,[-9.91033209e-05 -8.31996002e-03  1.00000000e+00],[-0.04763451  1.        ],"[1.0, 0.0393145495826018, 0.0017736259685496, 8.448580322489354e-05]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.0, 1.3552527156068805e-20]",1.3552527156068805e-20,(20.99318347993175+0j),(-16.40956027297463+0j),[1],[array([20.99318348])]
44.65018018018017,2,0,[1.],[-2.27992160e-04 -3.93145496e-02  1.00000000e+00],"[1.0, 0.0393145495826018, 0.0017736259685496, 7.869271514719607e-05]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.0, 5.793088077697483e-06]",0.0,(22.500032346664923+0j),(-20.171778216855827+0j),[1],"[array([  22.50003235, -194.93819706])]"
44.65018018018017,2,1,[-0.02540915  1.        ],[ 7.70957316e-04 -6.47237044e-02  1.00000000e+00],"[1.0, 0.0393145495826018, 0.0017736259685496, 8.448580322489358e-05]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.0, -2.710505431213761e-20]",-2.710505431213761e-20,(20.41437349588771+0j),(-14.476358938873569+0j),[1],"[array([20.4143735 , 63.53801011])]"
44.65018018018017,3,0,[1.],[-5.79308808e-06 -2.27992160e-04 -3.93145496e-02  1.00000000e+00],"[1.0, 0.0393145495826018, 0.0017736259685496, 8.448580322489357e-05]","[1, 0.0393145495826018, 0.0017736259685496, 8.448580322489355e-05]","[0.0, 0.0, 0.0, -1.3552527156068805e-20]",-1.3552527156068805e-20,(21.35584773172163+0j),(-17.55042378178497-0j),[1],"[array([ 21.35584773 +0.j        , -30.35587081+84.62582307j,
       -30.35587081-84.62582307j])]"
44.75027027027026,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]",0.0,,,[],[]
44.75027027027026,0,1,[0.03922827 1.        ],[1.],"[1.0, 0.0392282726900188, 0.0, 0.0]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.0017658967198437001, 8.393680598777381e-05]",0.0,,,[],[]
44.75027027027026,0,2,[0.0017659  0.03922827 1.        ],[1.],"[1.0, 0.0392282726900188, 0.0017658967198437001, 0.0]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.0, 8.393680598777381e-05]",0.0,,,[],[]
44.75027027027026,0,3,[8.39368060e-05 1.76589672e-03 3.92282727e-02 1.00000000e+00],[1.],"[1.0, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
44.75027027027026,1,0,[1.],[-0.03922827  1.        ],"[1.0, 0.0392282726900188, 0.001538857378242475, 6.0366716864743217e-05]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.00022703934160122523, 2.3570089123030597e-05]",0.0,(25.491818309258335+0j),(-25.491818309258335+0j),[1],[array([25.49181831])]
44.75027027027026,1,1,[-0.00578765  1.        ],[-0.04501592  1.        ],"[1.0, 0.0392282726900188, 0.0017658967198437001, 7.949346252883012e-05]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.0, 4.443343458943697e-06]",0.0,(22.214364095704816+0j),(-19.358288459058794+0j),[1],[array([22.2143641])]
44.75027027027026,1,2,[-9.87060494e-05 -8.30384232e-03  1.00000000e+00],[-0.04753212  1.        ],"[1.0, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(21.038407395450808+0j),(-16.44386421480798+0j),[1],[array([21.0384074])]
44.75027027027026,2,0,[1.],[-2.27039342e-04 -3.92282727e-02  1.00000000e+00],"[1.0, 0.0392282726900188, 0.0017658967198437001, 7.81794392721336e-05]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.0, 5.757366715640214e-06]",0.0,(22.549037308634272+0j),(-20.215370572168258+0j),[1],"[array([  22.54903731, -195.33086628])]"
44.75027027027026,2,1,[-0.02535845  1.        ],[ 7.67729010e-04 -6.45867268e-02  1.00000000e+00],"[1.0, 0.0392282726900188, 0.0017658967198436997, 8.393680598777376e-05]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 4.336808689942018e-19, 5.421010862427522e-20]",5.421010862427522e-20,(20.458065869644955+0j),(-14.505691379974765+0j),[1],"[array([20.45806587, 63.66891898])]"
44.75027027027026,3,0,[1.],[-5.75736672e-06 -2.27039342e-04 -3.92282727e-02  1.00000000e+00],"[1.0, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[1, 0.0392282726900188, 0.0017658967198437001, 8.393680598777381e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(21.402037634962223+0j),(-17.58769957434231-0j),[1],"[array([ 21.40203763 +0.j        , -30.4183091 +84.79583138j,
       -30.4183091 -84.79583138j])]"
44.85036036036036,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]",0.0,,,[],[]
44.85036036036036,0,1,[0.03914237 1.        ],[1.],"[1.0, 0.0391423702297944, 0.0, 0.0]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.0017582174927481, 8.339251290747507e-05]",0.0,,,[],[]
44.85036036036036,0,2,[0.00175822 0.03914237 1.        ],[1.],"[1.0, 0.0391423702297944, 0.0017582174927481, 0.0]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.0, 8.339251290747507e-05]",0.0,,,[],[]
44.85036036036036,0,3,[8.33925129e-05 1.75821749e-03 3.91423702e-02 1.00000000e+00],[1.],"[1.0, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
44.85036036036036,1,0,[1.],[-0.03914237  1.        ],"[1.0, 0.0391423702297944, 0.001532125147206295, 5.9971009750327043e-05]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.00022609234554180502, 2.3421503157148025e-05]",0.0,(25.547763053930233+0j),(-25.547763053930233+0j),[1],[array([25.54776305])]
44.85036036036036,1,1,[-0.00577615  1.        ],[-0.04491852  1.        ],"[1.0, 0.0391423702297944, 0.0017582174927481, 7.897653447292665e-05]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.0, 4.41597843454842e-06]",0.0,(22.262530313365694+0j),(-19.399751551918396+0j),[1],[array([22.26253031])]
44.85036036036036,1,2,[-9.83108538e-05 -8.28777607e-03  1.00000000e+00],[-0.04743015  1.        ],"[1.0, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(21.083637264880867+0j),(-16.4781785307089+0j),[1],[array([21.08363726])]
44.85036036036036,2,0,[1.],[-2.26092346e-04 -3.91423702e-02  1.00000000e+00],"[1.0, 0.0391423702297944, 0.0017582174927481, 7.767059034096691e-05]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.0, 5.721922566508155e-06]",0.0,(22.59804515687711+0j),(-20.258966192237782+0j),[1],"[array([  22.59804516, -195.723633  ])]"
44.85036036036036,2,1,[-0.0253079  1.       ],[ 7.64518862e-04 -6.44502706e-02  1.00000000e+00],"[1.0, 0.0391423702297944, 0.0017582174927480996, 8.339251290747501e-05]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 4.336808689942018e-19, 5.421010862427522e-20]",5.421010862427522e-20,(20.501767286336765+0j),(-14.535044004550928+0j),[1],"[array([20.50176729, 63.79997309])]"
44.85036036036036,3,0,[1.],[-5.72192257e-06 -2.26092346e-04 -3.91423702e-02  1.00000000e+00],"[1.0, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[1, 0.0391423702297944, 0.0017582174927481, 8.339251290747507e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(21.448232508324526+0j),(-17.624982898040177-0j),[1],"[array([ 21.44823251 +0.j      , -30.4807927 +84.965946j,
       -30.4807927 -84.965946j])]"
44.95045045045045,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0390568397910288, 0.0017505878588339999, 8.285288823837162e-05]","[0.0, 0.0390568397910288, 0.0017505878588339999, 8.285288823837162e-05]",0.0,,,[],[]
44.95045045045045,0,1,[0.03905684 1.        ],[1.],"[1.0, 0.0390568397910288, 0.0, 0.0]","[1, 0.0390568397910288, 0.0017505878588339999, 8.285288823837162e-05]","[0.0, 0.0, 0.0017505878588339999, 8.285288823837162e-05]",0.0,,,[],[]
44.95045045045045,0,2,[0.00175059 0.03905684 1.        ],[1.],"[1.0, 0.0390568397910288, 0.0017505878588339999, 0.0]","[1, 0.0390568397910288, 0.0017505878588339999, 8.285288823837162e-05]","[0.0, 0.0, 0.0, 8.285288823837162e-05]",0.0,,,[],[]
44.95045045045045,0,3,[8.28528882e-05 1.75058786e-03 3.90568398e-02 1.00000000e+00],[1.],"[1.0, 0.0390568397910288, 0.0017505878588339999, 8.285288823837161e-05]","[1, 0.0390568397910288, 0.0017505878588339999, 8.285288823837162e-05]","[0.0, 0.0, 0.0, 1.3552527156068805e-20]",1.3552527156068805e-20,,,[],[]
