,sigma,residues,poles,poly_type,error_next,rel_error,pole_2,res_2
58,0.9108108108108108,-0.8090548887580957,1.9451172237074803,1_1,-0.0104818562757357,0.2276823363600358,,
59,0.9108108108108108,-1.8179904737285768,2.6181552250768845,2_0,0.0087981704921801,0.1911100439328323,-5.948501542853597,1.8179904737285768
60,1.010900900900901,,,0_0,0.2103782760135261,1.0,,
61,1.010900900900901,,,0_1,0.1068341717340611,1.0,,
62,1.010900900900901,,,0_2,0.0442301020186622,1.0,,
63,1.010900900900901,-4.753342497852325,4.753342497852325,1_0,0.0625751527156378,0.5857222618939198,,
64,1.010900900900901,-0.8157973700633201,1.9692039784537656,1_1,-0.0100223639030997,0.2265959933547288,,
65,1.010900900900901,-1.842524991701616,2.655648361729772,2_0,0.0085900604003184,0.1942129908878356,-6.017658151295203,1.842524991701616
66,1.110990990990991,,,0_0,0.2070070662925847,1.0,,
67,1.110990990990991,,,0_1,0.1038451936931598,1.0,,
68,1.110990990990991,,,0_2,0.0425077465739784,1.0,,
69,1.110990990990991,-4.830752968531979,4.830752968531979,1_0,0.0609932681980972,0.5873480132197472,,
70,1.110990990990991,-0.8225886451287271,1.993419810109325,1_1,-0.0095862444491491,0.2255175873053089,,
71,1.110990990990991,-1.867202843903985,2.6933577747088977,2_0,0.0083850201656872,0.1972586373425934,-6.087290784172434,1.867202843903985
72,1.211081081081081,,,0_0,0.2037221806489411,1.0,,
73,1.211081081081081,,,0_1,0.1009643454830278,1.0,,
74,1.211081081081081,,,0_2,0.0408655816992367,1.0,,
75,1.211081081081081,-4.908645670366269,4.908645670366269,1_0,0.059461618594668,0.588936800513044,,
76,1.211081081081081,-0.8294283589258802,2.017763594408553,1_1,-0.0091721659154051,0.2244472128871336,,
77,1.211081081081081,-1.8920224402719128,2.731280988451301,2_0,0.0081832544646198,0.2002480846803337,-6.157393251517231,1.8920224402719128
78,1.3111711711711709,,,0_0,0.2005207840029999,1.0,,
79,1.3111711711711709,,,0_1,0.0981869677545732,1.0,,
80,1.3111711711711709,,,0_2,0.0392993316215597,1.0,,
81,1.3111711711711709,-4.987014213873407,4.987014213873407,1_0,0.0579783829373954,0.5904895961581932,,
82,1.3111711711711709,-0.8363161539013872,2.04223420468813,1_1,-0.0087788797457635,0.2233849631413933,,
83,1.3111711711711709,-1.9169821981924275,2.769415538345376,2_0,0.0079849330667027,0.2031824139808574,-6.227959461854254,1.9169821981924275
84,1.4112612612612612,,,0_0,0.1974001513550361,1.0,,
85,1.4112612612612612,,,0_1,0.0955086303279771,1.0,,
86,1.4112612612612612,,,0_2,0.037804975000213,1.0,,
87,1.4112612612612612,-5.065852245479992,5.065852245479992,1_0,0.0565418105729859,0.5920073440360425,,
88,1.4112612612612612,-0.8432516701628024,2.06683051235436,1_1,-0.0084052148325187,0.2223309189457565,,
89,1.4112612612612612,-1.942080542879372,2.807758971487432,2_0,0.0077901949527629,0.2060626928788874,-6.298983418575587,1.942080542879372
90,1.5113513513513512,,,0_0,0.1943576629397057,1.0,,
91,1.5113513513513512,,,0_1,0.0929251196679905,1.0,,
92,1.5113513513513512,,,0_2,0.0363787280805772,1.0,,
93,1.5113513513513512,-5.145153449957995,5.145153449957995,1_0,0.0551502185246062,0.5934909604814166,,
94,1.5113513513513512,-0.8502345454811605,2.0915513871181504,1_1,-0.0080500725887802,0.2212851579348717,,
95,1.5113513513513512,-1.9673159075856668,2.846308847246095,2_0,0.0075991514104575,0.2088899698094392,-6.370459215807001,1.9673159075856668
96,1.6114414414414413,,,0_0,0.1913907996162746,1.0,,
97,1.6114414414414413,,,0_1,0.0904324270537979,1.0,,
98,1.6114414414414413,,,0_2,0.0350170293605823,1.0,,
99,1.6114414414414413,-5.224911552723176,5.224911552723176,1_0,0.0538019888760409,0.5949413349708542,,
100,1.6114414414414413,-0.8572644162841044,2.1163956984414107,1_1,-0.0077124219988187,0.2202477520123493,,
101,1.6114414414414413,-1.9926867346287571,2.885062738657885,2_0,0.0074118891635841,0.2116652754081851,-6.442381038864898,1.9926867346287571
102,1.7115315315315314,,,0_0,0.1884971384821152,1.0,,
103,1.7115315315315314,,,0_1,0.0880267375779678,1.0,,
104,1.7115315315315314,,,0_2,0.0337165256083785,1.0,,
105,1.7115315315315314,-5.305120321998316,5.305120321998316,1_0,0.0524955663620221,0.5963593313398133,,
106,1.7115315315315314,-0.8643409163046849,2.1413623140941445,1_1,-0.0073912948658065,0.219218757936608,,
107,1.7115315315315314,-2.018191474454667,2.9240182317510968,2_0,0.0072284734227764,0.2143896291906226,-6.514743154732085,2.018191474454667
108,1.8116216216216208,,,0_0,0.1856743486977188,1.0,,
109,1.8116216216216208,,,0_1,0.0857044196363486,1.0,,
110,1.8116216216216208,,,0_2,0.0324740577758367,1.0,,
111,1.8116216216216208,-5.385773570844824,5.385773570844824,1_0,0.0512294558720265,0.5977457882498668,,
112,1.8116216216216208,-0.8714636782388724,2.166450102404885,1_1,-0.0070857823244322,0.2181982422198123,,
113,1.8116216216216208,-2.043828587194489,2.9631729274597185,2_0,0.0070489496261647,0.2170640230679663,-6.587539915888044,2.043828587194489
114,1.9117117117117115,,,0_0,0.182920187512132,1.0,,
