sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.7106306306306306,0,2,[0.1165002  0.22103996 1.        ],[1.],"[1.0, 0.22103996047299168, 0.1165002019552554, 0.0]",,,,,,,
0.7106306306306306,0,3,[0.04992527 0.1165002  0.22103996 1.        ],[1.],"[1.0, 0.22103996047299168, 0.1165002019552554, 0.04992526604334533]",,,,,,,
0.7106306306306306,1,0,[1.],[-0.22103996  1.        ],"[1.0, 0.22103996047299168, 0.04885866412590172, 0.010799717187152493]",(4.524068850990351+0j),(-4.524068850990351+0j),[1],,,0j,[0.]
0.7106306306306306,1,1,[-0.30601497  1.        ],[-0.52705493  1.        ],"[1.0, 0.22103996047299168, 0.1165002019552554, 0.0614020063456972]",(1.8973354274345997+0j),(-0.7957177140242672+0j),[1],,,(0.5806130521158493+0j),[0.58061305]
0.7106306306306306,1,2,[ 0.02177523 -0.20750235  1.        ],[-0.42854231  1.        ],"[1.0, 0.22103996047299168, 0.1165002019552554, 0.04992526604334533]",(2.3334918606965345+0j),(-1.4802857192298395+0j),[1],,,(0.24706481578793724+0j),[-0.05081231  0.36563493]
0.7106306306306306,2,0,[1.],[-0.06764154 -0.22103996  1.        ],"[1.0, 0.22103996047299168, 0.1165002019552554, 0.040702682883417905]",(2.5438277331817263+0j),(-1.7693578358317206+0j),[1],(-5.811641676599633+0j),(1.7693578358317206+0j),(0.21176043487878915+0j),[0.]
0.7106306306306306,2,1,[-0.13634497  1.        ],[-0.03750385 -0.35738493  1.        ],"[1.0, 0.22103996047299168, 0.1165002019552554, 0.04992526604334533]",(2.2614335013772644+0j),(-1.312432609011237+0j),[1],(-11.790719356737938+0j),(4.94792492654199+0j),(0.35211152173629634+0j),[0.]
0.7106306306306306,3,0,[1.],[-0.00922258 -0.06764154 -0.22103996  1.        ],"[1.0, 0.22103996047299168, 0.1165002019552554, 0.04992526604334533]",(2.331599299421049+0j),(-1.455863458356601-0j),[1],(-4.832968416659648+4.811107802927693j),(0.7279317291783004-1.0840156529454574j),(0.14005024174137604+0j),[0.]
0.8107207207207207,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.8107207207207207,0,1,[0.21739159 1.        ],[1.],"[1.0, 0.21739158923465304, 0.0, 0.0]",,,,,,,
0.8107207207207207,0,2,[0.11315638 0.21739159 1.        ],[1.],"[1.0, 0.21739158923465304, 0.11315638141186975, 0.0]",,,,,,,
