sigma,residues,poles,poly_type,pole_2,res_2,remainder
0.0210490414451202,-1.6064454335294238,2.294761892491163,2_0,(-5.35569027187054+0j),(1.6064454335294238+0j),0.20998045592818285
0.0210490414451202,-1.246979548687506,2.0761494436258174,2_1,(-9.925406244690842+0j),(3.963995982272664+0j),0.3302901794749456
0.0210490414451202,-1.3506989075860687,2.1255196105808323,3_0,(-4.8549022446874925+4.5036936923373885j),(0.6753494537930342-1.0467461619828256j),0.13662527433011185
0.0231012970008316,,,0_0,,,
0.0231012970008316,,,0_1,,,
0.0231012970008316,,,0_2,,,
0.0231012970008316,,,0_3,,,
0.0231012970008316,-4.016609542928868,4.016609542928868,1_0,,,0.0
0.0231012970008316,-0.7514453490428642,1.7373147555797372,1_1,,,0.5674673534951306
0.0231012970008316,-1.424578695629578,2.150180190570587,1_2,,,0.21024375338979373
0.0231012970008316,-1.6069193496848204,2.295486594952394,2_0,(-5.357010301786474+0j),(1.6069193496848204+0j),0.20998627916721058
0.0231012970008316,-1.2471793154800495,2.0766964907277248,2_1,(-9.930527253215843+0j),(3.966657117488087+0j),0.33035589259247916
0.0231012970008316,-1.3510070411803086,2.1261224250689272,3_0,(-4.85472501699754+4.504626700750929j),(0.6755035205901545-1.0468319212849706j),0.13663636859124478
0.0253536449397011,,,0_0,,,
0.0253536449397011,,,0_1,,,
0.0253536449397011,,,0_2,,,
0.0253536449397011,,,0_3,,,
0.0253536449397011,-4.018230530784065,4.018230530784065,1_0,,,0.0
0.0253536449397011,-0.7515864454150686,1.7378284154341301,1_1,,,0.5675140084371831
0.0253536449397011,-1.4247566590939829,2.150770872386443,1_2,,,0.2103732282500151
0.0253536449397011,-1.6074395275735525,2.2962820496340477,2_0,(-5.358459175833545+0j),(1.6074395275735525+0j),0.20999266731911784
0.0253536449397011,-1.2473908357041654,2.077292072097578,2_1,(-9.93631553747855+0j),(3.9696683295102724+0j),0.3304309961269272
0.0253536449397011,-1.3513412218247998,2.1267811161069483,3_0,(-4.854449614087805+4.505642144231113j),(0.6756706109124-1.046912355973638j),0.13664896251734857
0.0278255940220712,,,0_0,,,
0.0278255940220712,,,0_1,,,
0.0278255940220712,,,0_2,,,
0.0278255940220712,,,0_3,,,
0.0278255940220712,-4.020009885302535,4.020009885302535,1_0,,,0.0
0.0278255940220712,-0.7517413363357888,1.7383922466636836,1_1,,,0.5675651811157533
0.0278255940220712,-1.4249515628105658,2.151419000282291,1_2,,,0.2105154794092965
0.0278255940220712,-1.6080105209167415,2.2971552066913112,2_0,(-5.36004966270119+0j),(1.6080105209167415+0j),0.2099996732938812
0.0278255940220712,-1.2476227644819384,2.077945654028293,2_1,(-9.94267567029541+0j),(3.972977433927401+0j),0.3305134840150142
0.0278255940220712,-1.3517079399584673,2.127504056190046,3_0,(-4.8541467114238985+4.506756157490557j),(0.6758539699792335-1.047000597194022j),0.13666278538842555
0.0305385550883341,,,0_0,,,
0.0305385550883341,,,0_1,,,
0.0305385550883341,,,0_2,,,
0.0305385550883341,,,0_3,,,
0.0305385550883341,-4.021963112825592,4.021963112825592,1_0,,,0.0
0.0305385550883341,-0.7519113396740479,1.7390111190801212,1_1,,,0.5676213156867083
0.0305385550883341,-1.4251658138975511,2.152130551411558,1_2,,,0.2106713541694211
0.0305385550883341,-1.6086372767669412,2.298113643806661,2_0,(-5.361795487706878+0j),(1.6086372767669412+0j),0.21000735767854817
0.0305385550883341,-1.2478774721706527,2.078663131109558,2_1,(-9.949654812053621+0j),(3.9766090067871365+0j),0.3306039153252859
0.0305385550883341,-1.3521105680546752,2.128297659561213,3_0,(-4.853818198627017+4.507978615550794j),(0.6760552840273376-1.0470982056871374j),0.13667793303272377
0.0335160265093884,,,0_0,,,
0.0335160265093884,,,0_1,,,
0.0335160265093884,,,0_2,,,
0.0335160265093884,,,0_3,,,
0.0335160265093884,-4.024107244986519,4.024107244986519,1_0,,,0.0
0.0335160265093884,-0.7520979742359946,1.7396904630027576,1_1,,,0.5676828779426364
0.0335160265093884,-1.4253976023118056,2.152909881021972,1_2,,,0.21084401020956217
0.0335160265093884,-1.6093252847171504,2.2991657408244257,2_0,(-5.36371204052549+0j),(1.6093252847171504+0j),0.21001578397008527
0.0335160265093884,-1.2481552506930722,2.0794495519819445,2_1,(-9.957356703803281+0j),(3.9806177918011296+0j),0.33070381853890296
0.0335160265093884,-1.3525516291780542,2.12916812074091,3_0,(-4.853441295399851+4.509318063257793j),(0.6762758145890272-1.0472026600505608j),0.13669463917230218
0.0367837977182863,,,0_0,,,
0.0367837977182863,,,0_1,,,
0.0367837977182863,,,0_2,,,
0.0367837977182863,,,0_3,,,
0.0367837977182863,-4.026460990131677,4.026460990131677,1_0,,,0.0
0.0367837977182863,-0.7523028467566015,1.7404361709728011,1_1,,,0.5677503953873191
0.0367837977182863,-1.4256588989768095,2.1537687694608034,1_2,,,0.21102998694020866
0.0367837977182863,-1.6100805254256692,2.3003206518407526,2_0,(-5.365815955961988+0j),(1.6100805254256692+0j),0.21002502405017126
0.0367837977182863,-1.2484637443720872,2.0803150347477053,2_1,(-9.965735371487911+0j),(3.9849780873787455+0j),0.3308120050133551
0.0367837977182863,-1.3530376990396036,2.1301250254503423,3_0,(-4.853069175033552+4.51079162153086j),(0.676518849519802-1.0473244837857107j),0.13671275448858092
0.0403701725859655,,,0_0,,,
0.0403701725859655,,,0_1,,,
0.0403701725859655,,,0_2,,,
0.0403701725859655,,,0_3,,,
0.0403701725859655,-4.029044900086029,4.029044900086029,1_0,,,0.0
0.0403701725859655,-0.7525277591698739,1.7412547574253885,1_1,,,0.5678244346722945
0.0403701725859655,-1.4259422802630868,2.154709814670632,1_2,,,0.21123566007486633
0.0403701725859655,-1.6109095973172267,2.301588461594479,2_0,(-5.3681256711640355+0j),(1.6109095973172267+0j),0.2100351550831324
0.0403701725859655,-1.2488005254312584,2.081263912077257,2_1,(-9.974975277549802+0j),(3.989787961571582+0j),0.33093138737694533
0.0403701725859655,-1.3535703611896155,2.131174762274931,3_0,(-4.8526452485498135+4.512406452229073j),(0.6767851805948079-1.0474557062413563j),0.13673271184893784
0.0443062145758388,,,0_0,,,
0.0443062145758388,,,0_1,,,
0.0443062145758388,,,0_2,,,
0.0443062145758388,,,0_3,,,
0.0443062145758388,-4.031881553849432,4.031881553849432,1_0,,,0.0
0.0443062145758388,-0.7527746771137692,1.7421533614639007,1_1,,,0.5679056196974381
0.0443062145758388,-1.4262532709720026,2.155742748784124,1_2,,,0.21146126025701165
0.0443062145758388,-1.6118197376648773,2.302980236814673,2_0,(-5.370661381424695+0j),(1.6118197376648773+0j),0.21004626197733373
0.0443062145758388,-1.2491701272764464,2.082305456046019,2_1,(-9.985123144370128+0j),(3.9950713424561237+0j),0.33106235592878114
0.0443062145758388,-1.354155112920955,2.1323271093676124,3_0,(-4.8521840218208165+4.514178161904135j),(0.6770775564604776-1.0476005953166223j),0.13675458826029932
0.0486260158006535,,,0_0,,,
0.0486260158006535,,,0_1,,,
0.0486260158006535,,,0_2,,,
0.0486260158006535,,,0_3,,,
0.0486260158006535,-4.034995759998799,4.034995759998799,1_0,,,0.0
0.0486260158006535,-0.7530457677018838,1.7431398336800585,1_1,,,0.5679946306360983
0.0486260158006535,-1.4265946761364547,2.1568766208843084,1_2,,,0.21170864933674888
0.0486260158006535,-1.6128189031595885,2.30450814129782,2_0,(-5.373445310171956+0j),(1.6128189031595885+0j),0.21005843723249581
0.0486260158006535,-1.2495758116725266,2.0834487754468687,2_1,(-9.996267710184654+0j),(4.000874646119182+0j),0.331206005610985
0.0486260158006535,-1.354797100573273,2.133592152665942,3_0,(-4.851683319236193+4.516122027095479j),(0.6773985502866366-1.047760766788348j),0.1367785619806148
0.0533669923120631,,,0_0,,,
0.0533669923120631,,,0_1,,,
0.0533669923120631,,,0_2,,,
0.0533669923120631,,,0_3,,,
0.0533669923120631,-4.038414779790743,4.038414779790743,1_0,,,0.0
0.0533669923120631,-0.7533433889179717,1.744222771340858,1_1,,,0.568092217751036
0.0533669923120631,-1.4269695795464445,2.1581213599191007,1_2,,,0.21197985290897536
0.0533669923120631,-1.613915817315313,2.3061855204722823,2_0,(-5.3765017769524155+0j),(1.613915817315313+0j),0.21007178280655928
0.0533669923120631,-1.2500211490503343,2.0847038593521843,2_1,(-10.008506187377069+0j),(4.007248815257955+0j),0.33136353373286204
0.0533669923120631,-1.3555019655329146,2.134980956262361,3_0,(-4.851140941763962+4.518254715199613j),(0.6777509827664573-1.0479380381511814j),0.1368048275473594
0.0585702081805666,,,0_0,,,
0.0585702081805666,,,0_1,,,
0.0585702081805666,,,0_2,,,
0.0585702081805666,,,0_3,,,
0.0585702081805666,-4.0421685731742425,4.0421685731742425,1_0,,,0.0
0.0585702081805666,-0.7536701516758078,1.745411642462435,1_1,,,0.5681991953413773
0.0585702081805666,-1.4273810967078449,2.1594877438934548,1_2,,,0.21227722789337536
0.0585702081805666,-1.6151200811120923,2.3080270542064154,2_0,(-5.379857596686825+0j),(1.6151200811120923+0j),0.21008640926011224
0.0585702081805666,-1.250509925591,2.0860816027321745,2_1,(-10.021949012397062+0j),(4.014251759636014+0j),0.33153630736778306
0.0585702081805666,-1.3562758452529238,2.136505635852352,3_0,(-4.8505531762202185+4.520594408209662j),(0.6781379226264619-1.0481341877260613j),0.13683360479949522
0.0642807311728432,,,0_0,,,
0.0642807311728432,,,0_1,,,
0.0642807311728432,,,0_2,,,
0.0642807311728432,,,0_3,,,
0.0642807311728432,-4.0462900701801505,4.0462900701801505,1_0,,,0.0
0.0642807311728432,-0.7540289276382477,1.7467168524209151,1_1,,,0.5683164523241541
0.0642807311728432,-1.4278325057517265,2.1609875399817633,1_2,,,0.21260342286203707
0.0642807311728432,-1.616442246979255,2.3100488762826794,2_0,(-5.3835422535685975+0j),(1.616442246979255+0j),0.21010243717104082
0.0642807311728432,-1.2510462224534533,2.0875939264277106,2_1,(-10.036719462676587+0j),(4.021948193872837+0j),0.3317258524088649
0.0642807311728432,-1.3571254473829135,2.138179476892275,3_0,(-4.849915405983114+4.523160955125982j),(0.6785627236914569-1.0483510854868932j),0.13686513745429016
0.0705480231071864,,,0_0,,,
0.0705480231071864,,,0_1,,,
0.0705480231071864,,,0_2,,,
0.0705480231071864,,,0_3,,,
