sigma,u2_GQ,u3_GQ,u4_GQ
8.111308307896872,0.08986159870910967,0.011395710645165062,0.0016458662161731603
8.902150854450392,0.08393545863494346,0.010023670286374289,0.0013679135970619551
9.770099572992256,0.07820435779890973,0.00876995716174598,0.0011276622948120556
10.722672220103243,0.07269201885793324,0.007633811598042778,0.000922277875130603
11.768119524349991,0.06741790065307506,0.0066124581967073135,0.0007485814634423623
12.91549665014884,0.06239699510841096,0.005701384119389494,0.0006032074250864633
14.174741629268063,0.05763980844430309,0.004894666800621856,0.0004827481577885204
15.556761439304722,0.05315251278003496,0.004185325391260854,0.00038387784070053677
17.07352647470692,0.04893724293873438,0.0035656713130339146,0.00030345050039572304
18.73817422860385,0.04499250550148668,0.0030276367767895274,0.00023857006179939805
20.565123083486537,0.041313663437376545,0.0025630652176299048,0.00018663389996668116
22.570197196339215,0.037893459860089344,0.0021639534426915836,0.00014535260057515752
24.770763559917114,0.03472254797718993,0.0018226410071777131,0.00011275037267265511
27.185882427329428,0.03179000010093184,0.001531947262063808,8.71509321771816e-05
29.836472402833405,0.029083775558155067,0.001285260258969207,6.715357263004421e-05
32.745491628777316,0.026591134443479634,0.001076584141635723,5.160356771646958e-05
35.938136638046295,0.02429899061307296,0.0009005528092688007,3.956030400997333e-05
39.4420605943766,0.022194202622119977,0.0007524178549320777,3.026560627132806e-05
43.287612810830616,0.020263805261138447,0.000628018136083834,2.3113967681641747e-05
47.50810162102798,0.018495186966149584,0.000523737467698576,1.762567970364609e-05
52.140082879996896,0.016876219836832802,0.0004364555943191847,1.3423341883223432e-05
57.223676593502205,0.015395349540292187,0.0003634965272419483,1.0211823050985963e-05
62.802914418342596,0.01404165226513877,0.00030257713757739506,7.761506813457644e-06
68.92612104349702,0.012804865355687992,0.00025175802502982986,5.894585333004896e-06
75.64633275546291,0.011675397489331238,0.00020939786468585075,4.473802423156958e-06
83.02175681319753,0.01064432340230896,0.00017411195213198712,3.3936135797059073e-06
91.11627561154896,0.009703367315413044,0.00014473514937981172,2.57305680344227e-06
100.0,0.008844878419541725,0.00012028922731917818,1.9501589812865514e-06
