sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0145082877849593,2,0,[1.],[-0.08151269 -0.24934996  1.        ],"[1.0, 0.2493499552217375, 0.1436880905365732, 0.056153804634328654]","[1, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]","[0.0, 0.0, 0.0, 0.010742335825154554]",0.010742335825154554,0.16058229594965698,2.292452973011453,-1.604935564706427,[1],-5.351485304021159,1.604935564706427,0.20996186867817898,[]
0.0159228279334109,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]","[0.0, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]",0.2492867187715838,1.0,,,,,,,
0.0159228279334109,0,1,[0.24928672 1.        ],[1.],"[1.0, 0.2492867187715838, 0.0, 0.0]","[1, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]","[0.0, 0.0, 0.143624966453034, 0.0668552174887068]",0.143624966453034,1.0,,,,,,,
0.0159228279334109,0,2,[0.14362497 0.24928672 1.        ],[1.],"[1.0, 0.2492867187715838, 0.143624966453034, 0.0]","[1, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]","[0.0, 0.0, 0.0, 0.0668552174887068]",0.0668552174887068,1.0,,,,,,,
0.0159228279334109,1,0,[1.],[-0.24928672  1.        ],"[1.0, 0.2492867187715838, 0.062143868155902705, 0.0154916409843589]","[1, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]","[0.0, 0.0, 0.0814810982971313, 0.051363576504347905]",0.0814810982971313,0.5673184844487047,4.011445154108989,-4.011445154108989,[1],,,0.0,[]
0.0159228279334109,1,1,[-0.32685696  1.        ],[-0.57614368  1.        ],"[1.0, 0.24928671877158382, 0.14362496645303402, 0.0827486160926859]","[1, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]","[0.0, -2.7755575615628914e-17, -2.7755575615628914e-17, -0.015893398603979092]",-0.015893398603979092,0.23772862015838642,1.7356781688307767,-0.7509958605989977,[1],,,0.5673184844487046,[0.56731848]
0.0159228279334109,2,0,[1.],[-0.0814811  -0.24928672  1.        ],"[1.0, 0.2492867187715838, 0.143624966453034, 0.05611595225715238]","[1, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]","[0.0, 0.0, 0.0, 0.010739265231554426]",0.010739265231554426,0.1606346615111753,2.2929522319639997,-1.605262045960665,[1],-5.3523945318521005,1.605262045960665,0.20996589109051925,[]
0.0174752840000768,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2492173458474845, 0.1435557291729816, 0.066810336787023]","[0.0, 0.2492173458474845, 0.1435557291729816, 0.066810336787023]",0.2492173458474845,1.0,,,,,,,
0.0174752840000768,0,1,[0.24921735 1.        ],[1.],"[1.0, 0.2492173458474845, 0.0, 0.0]","[1, 0.2492173458474845, 0.1435557291729816, 0.066810336787023]","[0.0, 0.0, 0.1435557291729816, 0.066810336787023]",0.1435557291729816,1.0,,,,,,,
0.0174752840000768,0,2,[0.14355573 0.24921735 1.        ],[1.],"[1.0, 0.2492173458474845, 0.1435557291729816, 0.0]","[1, 0.2492173458474845, 0.1435557291729816, 0.066810336787023]","[0.0, 0.0, 0.0, 0.066810336787023]",0.066810336787023,1.0,,,,,,,
0.0174752840000768,1,0,[1.],[-0.24921735  1.        ],"[1.0, 0.2492173458474845, 0.0621092854712647, 0.015478711277632319]","[1, 0.2492173458474845, 0.1435557291729816, 0.066810336787023]","[0.0, 0.0, 0.08144644370171689, 0.05133162550939068]",0.08144644370171689,0.5673507018558323,4.012561792596804,-4.012561792596804,[1],,,0.0,[]
0.0174752840000768,1,1,[-0.32680889  1.        ],[-0.57602623  1.        ],"[1.0, 0.2492173458474845, 0.1435557291729816, 0.08269186604289668]","[1, 0.2492173458474845, 0.1435557291729816, 0.066810336787023]","[0.0, 0.0, 0.0, -0.015881529255873675]",-0.015881529255873675,0.23771066005101243,1.7360320433271101,-0.7510930451012595,[1],,,0.5673507018558324,[0.5673507]
0.0174752840000768,2,0,[1.],[-0.08144644 -0.24921735  1.        ],"[1.0, 0.2492173458474845, 0.1435557291729816, 0.056074444333749224]","[1, 0.2492173458474845, 0.1435557291729816, 0.066810336787023]","[0.0, 0.0, 0.0, 0.010735892453273777]",0.010735892453273777,0.16069208702685478,2.2935002210476076,-1.6056203929685728,[1],-5.3533925198470325,1.6056203929685728,0.20997030393559896,[]
0.0191791026167248,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2491412440623533, 0.1434797930288832, 0.0667611259131669]","[0.0, 0.2491412440623533, 0.1434797930288832, 0.0667611259131669]",0.2491412440623533,1.0,,,,,,,
0.0191791026167248,0,1,[0.24914124 1.        ],[1.],"[1.0, 0.2491412440623533, 0.0, 0.0]","[1, 0.2491412440623533, 0.1434797930288832, 0.0667611259131669]","[0.0, 0.0, 0.1434797930288832, 0.0667611259131669]",0.1434797930288832,1.0,,,,,,,
0.0191791026167248,0,2,[0.14347979 0.24914124 1.        ],[1.],"[1.0, 0.2491412440623533, 0.1434797930288832, 0.0]","[1, 0.2491412440623533, 0.1434797930288832, 0.0667611259131669]","[0.0, 0.0, 0.0, 0.0667611259131669]",0.0667611259131669,1.0,,,,,,,
0.0191791026167248,1,0,[1.],[-0.24914124  1.        ],"[1.0, 0.2491412440623533, 0.062071359492937093, 0.01546453572471191]","[1, 0.2491412440623533, 0.1434797930288832, 0.0667611259131669]","[0.0, 0.0, 0.0814084335359461, 0.051296590188454984]",0.0814084335359461,0.5673860535856654,4.0137874552385515,-4.0137874552385515,[1],,,0.0,[]
0.0191791026167248,1,1,[-0.32675615  1.        ],[-0.57589739  1.        ],"[1.0, 0.24914124406235327, 0.14347979302888317, 0.08262963880223269]","[1, 0.2491412440623533, 0.1434797930288832, 0.0667611259131669]","[0.0, 2.7755575615628914e-17, 2.7755575615628914e-17, -0.015868512889065794]",-0.015868512889065794,0.23769091176960128,1.7364204310790994,-0.7511996953236093,[1],,,0.5673860535856654,[0.56738605]
0.0191791026167248,2,0,[1.],[-0.08140843 -0.24914124  1.        ],"[1.0, 0.2491412440623533, 0.1434797930288832, 0.05602893254133794]","[1, 0.2491412440623533, 0.1434797930288832, 0.0667611259131669]","[0.0, 0.0, 0.0, 0.01073219337182895]",0.01073219337182895,0.1607551284528637,2.2941016857526466,-1.6060137034577522,[1],-5.354487855108729,1.6060137034577522,0.20997514572822593,[]
0.0210490414451202,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2490577644746919, 0.1433965103297208, 0.06670736659611361]","[0.0, 0.2490577644746919, 0.1433965103297208, 0.06670736659611361]",0.2490577644746919,1.0,,,,,,,
0.0210490414451202,0,1,[0.24905776 1.        ],[1.],"[1.0, 0.2490577644746919, 0.0, 0.0]","[1, 0.2490577644746919, 0.1433965103297208, 0.06670736659611361]","[0.0, 0.0, 0.1433965103297208, 0.06670736659611361]",0.1433965103297208,1.0,,,,,,,
0.0210490414451202,0,2,[0.14339651 0.24905776 1.        ],[1.],"[1.0, 0.2490577644746919, 0.1433965103297208, 0.0]","[1, 0.2490577644746919, 0.1433965103297208, 0.06670736659611361]","[0.0, 0.0, 0.0, 0.06670736659611361]",0.06670736659611361,1.0,,,,,,,
