sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.0642807311728432,,,0_2,,,,0.0654739004308098,1.0,2
0.0642807311728432,-4.046290070180151,4.046290070180151,1_0,,,0.0,0.0804101190541962,0.5683164523241541,1
0.0642807311728432,-0.7540289276382477,1.7467168524209151,1_1,,,0.5683164523241541,-0.015528514373219,0.2371710600872013,2
0.0642807311728432,-1.616442246979255,2.3100488762826794,2_0,-5.3835422535685975,1.616442246979255,0.2101024371710408,0.0106339363574226,0.162414890321986,2
0.0705480231071864,,,0_0,,,,0.2468638740263444,1.0,0
0.0705480231071864,,,0_1,,,,0.1412143655978144,1.0,1
0.0705480231071864,,,0_2,,,,0.0652973572999431,1.0,2
0.0705480231071864,-4.050815470445399,4.050815470445399,1_0,,,0.0,0.0802725932985195,0.5684449521739164,1
0.0705480231071864,-0.7544228982013728,1.7481498640827031,1_1,,,0.5684449521739163,-0.0154819674588715,0.2370994493353721,2
0.0705480231071864,-1.6178939323617714,2.312268738808639,2_0,-5.387588270448802,1.6178939323617714,0.2101199970878157,0.0106202285804803,0.1626440796324486,2
0.0774263682681127,,,0_0,,,,0.2465614190718769,1.0,0
0.0774263682681127,,,0_1,,,,0.1409145269958352,1.0,1
0.0774263682681127,,,0_2,,,,0.0651043054539516,1.0,2
0.0774263682681127,-4.055784573938078,4.055784573938078,1_0,,,0.0,0.0801219936210975,0.5685857613776438,1
0.0774263682681127,-0.7548555081598172,1.7497232139817929,1_1,,,0.5685857613776438,-0.0154310191447089,0.2370199487900733,2
0.0774263682681127,-1.6194878654472735,2.314706112354431,2_0,-5.392031175406195,1.6194878654472735,0.2101392333717209,0.0106052272639304,0.1628959435168475,2
0.0849753435908644,,,0_0,,,,0.2462301459000069,1.0,0
0.0849753435908644,,,0_1,,,,0.1405863970737596,1.0,1
0.0849753435908644,,,0_2,,,,0.0648931909445826,1.0,2
0.0849753435908644,-4.061241146346459,4.061241146346459,1_0,,,0.0,0.0799571123238209,0.5687400345132315,1
0.0849753435908644,-0.7553305755956322,1.751450716606818,1_1,,,0.5687400345132315,-0.0153753520071285,0.2369332095297758,2
0.0849753435908644,-1.6212380632601198,2.317382426812573,2_0,-5.396910172922156,1.6212380632601198,0.2101603021015652,0.0105887304483167,0.1631716716991055,2
0.093260334688322,,,0_0,,,,0.2458673797618695,1.0,0
0.093260334688322,,,0_1,,,,0.1402274043331052,1.0,1
0.093260334688322,,,0_2,,,,0.0646624352100018,1.0,2
0.093260334688322,-4.067233322974899,4.067233322974899,1_0,,,0.0,0.0797766359021378,0.5689090251762151,1
0.093260334688322,-0.755852316620906,1.7533475780370311,1_1,,,0.5689090251762151,-0.0153145220628382,0.2368380035967069,2
0.093260334688322,-1.6231599517859874,2.320321259236589,2_0,-5.402268460713917,1.6231599517859874,0.2101833725016781,0.0105706183003376,0.1634738664884467,2
0.1023531021899026,,,0_0,,,,0.245470212037216,1.0,0
0.1023531021899026,,,0_1,,,,0.1398347677029082,1.0,1
0.1023531021899026,,,0_2,,,,0.0644103098932884,1.0,2
0.1023531021899026,-4.073814055484618,4.073814055484618,1_0,,,0.0,0.0795791427053124,0.5690941102314813,1
0.1023531021899026,-0.7564253287443595,1.755430470330097,1_1,,,0.5690941102314814,-0.0152480816331006,0.2367335548977005,2
0.1023531021899026,-1.6252704637840905,2.3235485057088523,2_0,-5.40815338699302,1.6252704637840905,0.2102086301747122,0.0105507307814677,0.1638049995248844,2
0.1123324032978027,,,0_0,,,,0.2450354827172619,1.0,0
