error_next,pole_2,poles,poly_type,rel_error,remainder,res_2,residues,sigma,total_deg
0.00032359211708102,,,0_0,1.0,,,,69.3908163265306,0
1.8911816054248322e-07,,,0_1,1.0,,,,69.3908163265306,1
8.440630230550666e-08,,3090.3101380236135,1_0,0.4463151611848813,0.0,,-3090.3101380236135,69.3908163265306,1
0.00030550558745397996,,,0_0,1.0,,,,71.4314285714286,0
1.6953652433317388e-07,,,0_1,1.0,,,,71.4314285714286,1
7.620286036757247e-08,,3273.262555797399,1_0,0.44947754277313307,0.0,,-3273.262555797399,71.4314285714286,1
0.00028889076368356,,,0_0,1.0,,,,73.4720408163265,0
1.5349108342869536e-07,,,0_1,1.0,,,,73.4720408163265,1
7.003321008702485e-08,,3461.5159974285716,1_0,0.4562689149272892,0.0,,-3461.5159974285716,73.4720408163265,1
0.00027359253120061,,,0_0,1.0,,,,75.5126530612245,0
1.383361450593778e-07,,,0_1,1.0,,,,75.5126530612245,1
6.348327193062105e-08,,3655.0705372390307,1_0,0.4589058911781315,0.0,,-3655.0705372390307,75.5126530612245,1
0.00025947564516034,,,0_0,1.0,,,,77.5532653061225,0
1.2491001274911865e-07,,,0_1,1.0,,,,77.5532653061225,1
5.7582402317744017e-08,,3853.9262495409216,1_0,0.4609910851053875,0.0,,-3853.9262495409216,77.5532653061225,1
0.00024642175750173997,,,0_0,1.0,,,,79.5938775510204,0
1.1296880144146554e-07,,,0_1,1.0,,,,79.5938775510204,1
5.22451188712192e-08,,4058.083223405868,1_0,0.4624738707021678,0.0,,-4058.083223405868,79.5938775510204,1
0.00023432697343652998,,,0_0,1.0,,,,81.63448979591841,0
1.0248689132329499e-07,,,0_1,1.0,,,,81.63448979591841,1
4.757776084337076e-08,,4267.54114276503,1_0,0.4642326470151844,0.0,,-4267.54114276503,81.63448979591841,1
0.00022309969041712003,,,0_0,1.0,,,,83.6751020408163,0
9.283660818829832e-08,,,0_1,1.0,,,,83.6751020408163,1
4.306313632408353e-08,,4482.301154835053,1_0,0.4638594317959094,0.0,,-4482.301154835053,83.6751020408163,1
0.00021265907487308999,,,0_0,1.0,,,,85.7157142857143,0
8.428029564127755e-08,,,0_1,1.0,,,,85.7157142857143,1
3.9056413515399066e-08,,4702.362222711526,1_0,0.4634109695299952,0.0,,-4702.362222711526,85.7157142857143,1
0.00020293341274393,,,0_0,1.0,,,,87.7563265306122,0
7.659076950026087e-08,,,0_1,1.0,,,,87.7563265306122,1
3.5408799492362625e-08,,4927.72474714079,1_0,0.4623115777971394,0.0,,-4927.72474714079,87.7563265306122,1
0.00019385898264419,,,0_0,1.0,,,,89.7969387755102,0
6.966624048017089e-08,,,0_1,1.0,,,,89.7969387755102,1
3.208493532833053e-08,,5158.388774975707,1_0,0.4605521283649987,0.0,,-5158.388774975707,89.7969387755102,1
0.00018537899806366,,,0_0,1.0,,,,91.83755102040821,0
6.341885667553187e-08,,,0_1,1.0,,,,91.83755102040821,1
2.905348375244541e-08,,5394.354325167921,1_0,0.4581205855080445,0.0,,-5394.354325167921,91.83755102040821,1
0.00017744272061373,,,0_0,1.0,,,,93.87816326530607,0
5.778724270664109e-08,,,0_1,1.0,,,,93.87816326530607,1
2.630132360783885e-08,,5635.621436265462,1_0,0.455140656932853,0.0,,-5635.621436265462,93.87816326530607,1
0.00017000470435971996,,,0_0,1.0,,,,95.91877551020409,0
5.24110208192241e-08,,,0_1,1.0,,,,95.91877551020409,1
2.35094213147883e-08,,5882.190165067777,1_0,0.4485587372143907,0.0,,-5882.190165067777,95.91877551020409,1
0.00016302415092255,,,0_0,1.0,,,,97.959387755102,0
4.7764542246396575e-08,,,0_1,1.0,,,,97.959387755102,1
2.1187668462378214e-08,,6134.060471046912,1_0,0.443585711615956,0.0,,-6134.060471046912,97.959387755102,1
0.00015646434600398,,,0_0,1.0,,,,100.0,0
4.356414497913672e-08,,,0_1,1.0,,,,100.0,1
1.9083053408683544e-08,,6391.232415176317,1_0,0.4380449431022369,0.0,,-6391.232415176317,100.0,1
