s	width	allele counts	se_f	f	n	f_per_kb
-0.1	0.4	20	0.024063004422103677	0.010889999999999993	100	1.0889999999999992e-7
-0.1	0.4	50	0.011922354485413933	0.005566666666666668	100	5.5666666666666675e-8
-0.1	0.4	80	0.00536239033254419	0.0016766666666666679	100	1.6766666666666678e-8
-0.1	0.4	100	0.010198653109726053	0.003739999999999998	100	3.7399999999999984e-8
-0.1	0.4	200	0.00316305360068528	0.0013790000000000007	100	1.3790000000000006e-8
-0.1	0.4	500	8.856762651720514e-4	2.713333333333334e-4	100	2.713333333333334e-9
-0.1	0.4	800	3.3333333333333365e-4	3.333333333333336e-5	100	3.333333333333336e-10
-0.1	0.4	1000	0	0	100	0
-0.1	0.5	2	0.25066787556123704	0.2086	100	2.086e-6
-0.1	0.5	3	0.16899285741884437	0.131	100	1.31e-6
-0.1	0.5	4	0.12054606395628825	0.0886	100	8.86e-7
-0.1	0.5	5	0.10602701199565735	0.0737	100	7.37e-7
-0.1	0.5	6	0.07899520507120941	0.049600000000000005	100	4.96e-7
-0.1	0.5	7	0.0746895933416119	0.0425	100	4.25e-7
-0.1	0.5	8	0.06564512798588201	0.0341	100	3.4099999999999994e-7
-0.1	0.5	9	0.0502382203892493	0.024399999999999998	100	2.4399999999999996e-7
-0.1	0.5	10	0.04330896750866578	0.019700000000000002	100	1.9700000000000003e-7
-0.1	0.5	20	0.027884819011661698	0.012549999999999988	100	1.2549999999999987e-7
-0.1	0.5	50	0.014485915602465404	0.007233333333333333	100	7.233333333333333e-8
-0.1	0.5	80	0.010172926261983906	0.00453	100	4.53e-8
-0.1	0.5	100	0.008808220448805042	0.0033099999999999987	100	3.3099999999999985e-8
-0.1	0.5	200	0.0032143383000348175	0.0014570000000000015	100	1.4570000000000014e-8
-0.1	0.5	500	8.075085347351043e-4	2.2800000000000015e-4	100	2.2800000000000016e-9
-0.1	0.5	800	3.3333333333333365e-4	3.333333333333336e-5	100	3.333333333333336e-10
-0.1	0.5	1000	0	0	100	0
-0.1	0.6000000000000001	2	0.25568881022987233	0.229	100	2.29e-6
-0.1	0.6000000000000001	3	0.17054233160329105	0.1404	100	1.4039999999999998e-6
-0.1	0.6000000000000001	4	0.12871748878529246	0.1007	100	1.0069999999999998e-6
-0.1	0.6000000000000001	5	0.12840320805331865	0.0857	100	8.569999999999999e-7
-0.1	0.6000000000000001	6	0.09686369679903695	0.0675	100	6.75e-7
-0.1	0.6000000000000001	7	0.09425277639722805	0.0655	100	6.55e-7
-0.1	0.6000000000000001	8	0.08280895623254304	0.057499999999999996	100	5.75e-7
-0.1	0.6000000000000001	9	0.0676989026066258	0.046299999999999994	100	4.6299999999999995e-7
-0.1	0.6000000000000001	10	0.0673524575301713	0.0451	100	4.51e-7
-0.1	0.6000000000000001	20	0.03805930911223964	0.023789999999999978	100	2.3789999999999977e-7
-0.1	0.6000000000000001	50	0.0156904597605422	0.008893333333333333	100	8.893333333333332e-8
-0.1	0.6000000000000001	80	0.011751494878282453	0.00617	100	6.17e-8
-0.1	0.6000000000000001	100	0.009810934942422368	0.003589999999999998	100	3.5899999999999984e-8
-0.1	0.6000000000000001	200	0.003046654731095246	0.0013460000000000013	100	1.3460000000000013e-8
-0.1	0.6000000000000001	500	8.446051814060304e-4	2.3633333333333335e-4	100	2.3633333333333332e-9
-0.1	0.6000000000000001	800	1.299999999999999e-4	1.2999999999999987e-5	100	1.299999999999999e-10
-0.1	0.6000000000000001	1000	0	0	100	0
-0.1	0.7000000000000001	2	0.27846946407863543	0.3411	100	3.4110000000000005e-6
-0.1	0.7000000000000001	3	0.1958534548012257	0.1651	100	1.651e-6
-0.1	0.7000000000000001	4	0.13671839375855466	0.103	100	1.0299999999999999e-6
-0.1	0.7000000000000001	5	0.11758216555483941	0.0887	100	8.87e-7
-0.1	0.7000000000000001	6	0.09028149021115833	0.07260000000000001	100	7.260000000000001e-7
-0.1	0.7000000000000001	7	0.09240796677360845	0.06960000000000001	100	6.960000000000001e-7
-0.1	0.7000000000000001	8	0.0825460385775628	0.0627	100	6.27e-7
-0.1	0.7000000000000001	9	0.08738692549503467	0.05670000000000001	100	5.670000000000001e-7
-0.1	0.7000000000000001	10	0.07308110894648823	0.05160000000000001	100	5.160000000000001e-7
-0.1	0.7000000000000001	20	0.04803867444491195	0.03676999999999996	100	3.676999999999996e-7
-0.1	0.7000000000000001	50	0.017817358400772934	0.012543333333333332	100	1.2543333333333332e-7
-0.1	0.7000000000000001	80	0.011952327208600809	0.006403333333333335	100	6.403333333333334e-8
-0.1	0.7000000000000001	100	0.00908426322735303	0.0034199999999999973	100	3.419999999999997e-8
-0.1	0.7000000000000001	200	0.0030661348353069598	0.0013730000000000012	100	1.3730000000000013e-8
-0.1	0.7000000000000001	500	7.595175383976042e-4	1.8466666666666664e-4	100	1.8466666666666663e-9
-0.1	0.7000000000000001	800	0	0	100	0
-0.1	0.7000000000000001	1000	0	0	100	0
-0.1	0.8	2	0.3479904213241126	0.5458	100	5.457999999999999e-6
-0.1	0.8	3	0.18597447419069385	0.2356	100	2.356e-6
-0.1	0.8	4	0.1528555137402903	0.14220000000000002	100	1.4220000000000003e-6
-0.1	0.8	5	0.12839947134791574	0.1062	100	1.062e-6
-0.1	0.8	6	0.12972305387659788	0.08889999999999999	100	8.89e-7
-0.1	0.8	7	0.10166790858655268	0.071	100	7.1e-7
-0.1	0.8	8	0.0911437426167141	0.0683	100	6.830000000000001e-7
-0.1	0.8	9	0.08119530015756307	0.0615	100	6.149999999999999e-7
-0.1	0.8	10	0.07150976482024302	0.0543	100	5.43e-7
-0.1	0.8	20	0.050984010169162736	0.04161999999999996	100	4.161999999999996e-7
-0.1	0.8	50	0.022206170718008778	0.017763333333333332	100	1.7763333333333333e-7
-0.1	0.8	80	0.013048590878164724	0.006393333333333333	100	6.393333333333334e-8
-0.1	0.8	100	0.006974475469940941	0.002725	100	2.725e-8
-0.1	0.8	200	0.003352161823195432	0.001491000000000001	100	1.491000000000001e-8
-0.1	0.8	500	4.996603784843864e-4	8.833333333333332e-5	100	8.833333333333332e-10
-0.1	0.8	800	0	0	100	0
-0.1	0.8	1000	0	0	100	0
-0.1	0.9	2	0.42580789522549195	0.73740000000000006	100	7.374e-6
-0.1	0.9	3	0.2496027348658769	0.3657	100	3.657e-6
-0.1	0.9	4	0.16487828384856656	0.20700000000000002	100	2.07e-6
-0.1	0.9	5	0.12910335691869818	0.14300000000000002	100	1.4300000000000003e-6
-0.1	0.9	6	0.12584325668276888	0.1172	100	1.1720000000000002e-6
-0.1	0.9	7	0.11410362116793824	0.0916	100	9.16e-7
-0.1	0.9	8	0.10947897727256345	0.0811	100	8.11e-7
-0.1	0.9	9	0.09912241182120482	0.07300000000000001	100	7.300000000000001e-7
-0.1	0.9	10	0.09440269427759294	0.0685	100	6.85e-7
-0.1	0.9	20	0.054888684414619276	0.048799999999999955	100	4.879999999999996e-7
-0.1	0.9	50	0.024391544918764982	0.02063666666666666	100	2.0636666666666662e-7
-0.1	0.9	80	0.013308904810324571	0.006109999999999999	100	6.109999999999998e-8
-0.1	0.9	100	0.008028352536133702	0.002989999999999998	100	2.9899999999999977e-8
-0.1	0.9	200	0.003154866530977632	0.0013070000000000007	100	1.3070000000000006e-8
-0.1	0.9	500	4.310095683809284e-4	6.200000000000002e-5	100	6.200000000000001e-10
-0.1	0.9	800	0	0	100	0
-0.1	0.9	1000	0	0	100	0
-0.1	1.0	2	0.4376676475328851	0.9084	100	9.084e-6
-0.1	1.0	3	0.31092848896896735	0.4768	100	4.768e-6
-0.1	1.0	4	0.20991145319352675	0.2809	100	2.8089999999999997e-6
-0.1	1.0	5	0.15517533257055982	0.2021	100	2.021e-6
-0.1	1.0	6	0.1265452368510841	0.1462	100	1.462e-6
-0.1	1.0	7	0.10702944935999173	0.1175	100	1.175e-6
-0.1	1.0	8	0.11390568489107576	0.1018	100	1.018e-6
