s	width	allele counts	se_f	f	n	f_per_kb
-0.05	0.7000000000000001	4	0.41971611377407986	0.15999999999999992	100	1.5999999999999993e-6
-0.05	0.7000000000000001	5	0.21904291355759029	0.049999999999999996	100	5e-7
-0.05	0.7000000000000001	6	0.3333333333333332	0.09999999999999999	100	1e-6
-0.05	0.7000000000000001	7	0.33333333333333315	0.1	100	1.0000000000000002e-6
-0.05	0.7000000000000001	8	0.30748244591432294	0.07999999999999999	100	8e-7
-0.05	0.7000000000000001	9	0.19694638556693222	0.03999999999999998	100	3.999999999999998e-7
-0.05	0.7000000000000001	10	0.256432399976243	0.06999999999999997	100	6.999999999999997e-7
-0.05	0.7000000000000001	20	0.058396070159737745	0.032	100	3.2e-7
-0.05	0.7000000000000001	50	0.01968038669973114	0.014333333333333335	100	1.4333333333333335e-7
-0.05	0.7000000000000001	80	0.014213381090374025	0.006666666666666665	100	6.666666666666665e-8
-0.05	0.7000000000000001	100	0.01193416282879711	0.003	100	3e-8
-0.05	0.7000000000000001	200	0.003265986323710901	0.0012000000000000003	100	1.2000000000000003e-8
-0.05	0.7000000000000001	500	7.956108552531403e-4	1.9999999999999998e-4	100	2e-9
-0.05	0.7000000000000001	800	0	0	100	0
-0.05	0.7000000000000001	1000	0	0	100	0
-0.05	0.8	2	0.643459714388091	0.48999999999999994	100	4.899999999999999e-6
-0.05	0.8	3	0.40201512610368445	0.20000000000000004	100	2.0000000000000003e-6
-0.05	0.8	4	0.5041244034376976	0.21999999999999997	100	2.1999999999999997e-6
-0.05	0.8	5	0.3333333333333331	0.09999999999999999	100	1e-6
-0.05	0.8	6	0.19694638556693222	0.039999999999999994	100	4e-7
-0.05	0.8	7	0.32082595426382393	0.09000000000000001	100	9.000000000000001e-7
-0.05	0.8	8	0.27265992434429087	0.07999999999999996	100	7.999999999999996e-7
-0.05	0.8	9	0.30151134457776335	0.09999999999999995	100	9.999999999999995e-7
-0.05	0.8	10	0.09999999999999995	0.009999999999999993	100	9.999999999999994e-8
-0.05	0.8	20	0.06204429828352444	0.033	100	3.3e-7
-0.05	0.8	50	0.02562572711185428	0.019	100	1.8999999999999998e-7
-0.05	0.8	80	0.014256744716850216	0.005666666666666666	100	5.6666666666666665e-8
-0.05	0.8	100	0.01193416282879711	0.0029999999999999996	100	2.999999999999999e-8
-0.05	0.8	200	0.003775251680686367	0.0017000000000000001	100	1.7000000000000003e-8
-0.05	0.8	500	4.690176471209661e-4	6.666666666666663e-5	100	6.666666666666663e-10
-0.05	0.8	800	0	0	100	0
-0.05	0.8	1000	0	0	100	0
-0.05	0.9	2	0.9177816909936882	0.6900000000000002	100	6.900000000000002e-6
-0.05	0.9	3	0.5663992238766579	0.32	100	3.2000000000000003e-6
-0.05	0.9	4	0.47140452079103123	0.2	100	2.0000000000000003e-6
-0.05	0.9	5	0.39491720139745284	0.16	100	1.6000000000000001e-6
-0.05	0.9	6	0.402517331328978	0.13999999999999996	100	1.3999999999999995e-6
-0.05	0.9	7	0.3144660377352203	0.11000000000000001	100	1.1e-6
-0.05	0.9	8	0.2564323999762428	0.07	100	7.000000000000001e-7
-0.05	0.9	9	0.30748244591432294	0.07999999999999999	100	8e-7
-0.05	0.9	10	0.2190429135575906	0.05	100	5.000000000000001e-7
-0.05	0.9	20	0.06863753427324668	0.044000000000000004	100	4.4e-7
-0.05	0.9	50	0.027370755363311565	0.021666666666666667	100	2.1666666666666667e-7
-0.05	0.9	80	0.01772720078261034	0.006666666666666666	100	6.666666666666665e-8
-0.05	0.9	100	0.014381174563233061	0.0045000000000000005	100	4.5000000000000006e-8
-0.05	0.9	200	0.0030151134457776394	9.999999999999996e-4	100	9.999999999999997e-9
-0.05	0.9	500	4.690176471209661e-4	6.666666666666663e-5	100	6.666666666666663e-10
-0.05	0.9	800	0	0	100	0
-0.05	0.9	1000	0	0	100	0
-0.05	1	2	0.8561128973034414	0.8800000000000001	100	8.8e-6
-0.05	1	3	0.6666666666666661	0.4	100	4.000000000000001e-6
-0.05	1	4	0.49400445751066213	0.28	100	2.8000000000000003e-6
