sigma,residues,poles,poly_type,pole_2,res_2,remainder
0.0722080901838546,-3.007682924488123,3.007682924488123,1_0,,,0.0
0.0722080901838546,-2.6271182293719137,2.8109675627963724,1_1,,,0.06540428849401721
0.0722080901838546,-2.658518627478984,2.8223426247611036,2_0,(-45.80067978767512+0j),(2.658518627478984+0j),0.05467612862336215
0.0811130830789687,,,0_0,,,
0.0811130830789687,,,0_1,,,
0.0811130830789687,,,0_2,,,
0.0811130830789687,-3.0936865605686217,3.0936865605686217,1_0,,,0.0
0.0811130830789687,-2.6920286891537204,2.8858781984519077,1_1,,,0.06717175707629501
0.0811130830789687,-2.725916236532108,2.8981807591392603,2_0,(-45.86085322837466+0j),(2.725916236532108+0j),0.05590587043275208
0.0911162756115489,,,0_0,,,
0.0911162756115489,,,0_1,,,
0.0911162756115489,,,0_2,,,
0.0911162756115489,-3.184727465582587,3.184727465582587,1_0,,,0.0
0.0911162756115489,-2.7602689264908897,2.964912184633754,1_1,,,0.06902169285264786
0.0911162756115489,-2.7968985339948595,2.978240224410665,2_0,(-45.93447705510456+0j),(2.7968985339948595+0j),0.05718141803514581
0.1023531021899026,,,0_0,,,
0.1023531021899026,,,0_1,,,
0.1023531021899026,,,0_2,,,
0.1023531021899026,-3.281255428210585,3.281255428210585,1_0,,,0.0
0.1023531021899026,-2.8320531487431975,3.048391340903345,1_1,,,0.07096798539522134
0.1023531021899026,-2.871720529914119,3.0628588966423864,2_0,(-46.017316796593065+0j),(2.871720529914119+0j),0.05851080378895054
0.1149756995397735,,,0_0,,,
0.1149756995397735,,,0_1,,,
0.1149756995397735,,,0_2,,,
0.1149756995397735,-3.3837740465545805,3.3837740465545805,1_0,,,0.0
0.1149756995397735,-2.9076046676864613,3.136666576504172,1_1,,,0.07302717813029438
0.1149756995397735,-2.95065531103305,3.152407359265098,2_0,(-46.10445147231791+0j),(2.95065531103305+0j),0.05990344047560578
0.1291549665014884,,,0_0,,,
0.1291549665014884,,,0_1,,,
0.1291549665014884,,,0_2,,,
0.1291549665014884,-3.4928486830487415,3.4928486830487415,1_0,,,0.0
0.1291549665014884,-2.9871806682270967,3.230134681874066,1_1,,,0.0752148246357368
0.1291549665014884,-3.0340165500844183,3.247304895315966,2_0,(-46.19275743765071+0j),(3.0340165500844183+0j),0.06136757129574518
0.1450828778495939,,,0_0,,,
0.1450828778495939,,,0_1,,,
0.1450828778495939,,,0_2,,,
0.1450828778495939,-3.6091158373722023,3.6091158373722023,1_0,,,0.0
0.1450828778495939,-3.071165376553778,3.329292957928065,1_1,,,0.07753225223379817
0.1450828778495939,-3.122237290367909,3.3480686093448266,2_0,(-46.288817291436445+0j),(3.122237290367909+0j),0.0629015546343685
0.1629750834620644,,,0_0,,,
0.1629750834620644,,,0_1,,,
0.1629750834620644,,,0_2,,,
0.1629750834620644,-3.733294200077737,3.733294200077737,1_0,,,0.0
0.1629750834620644,-3.1599260175030732,3.4346664283186166,1_1,,,0.07999042019053897
0.1629750834620644,-3.215752238824712,3.4552508139483527,2_0,(-46.39372294770094+0j),(3.215752238824712+0j),0.06450989852269963
0.1830738280295368,,,0_0,,,
0.1830738280295368,,,0_1,,,
0.1830738280295368,,,0_2,,,
0.1830738280295368,-3.8661976944413485,3.8661976944413485,1_0,,,0.0
0.1830738280295368,-3.2539795825498317,3.5469040528062474,1_1,,,0.08258595831614296
0.1830738280295368,-3.315137829648015,3.569524969484202,2_0,(-46.517553001423046+0j),(3.315137829648015+0j),0.06618748715134853
0.2056512308348651,,,0_0,,,
0.2056512308348651,,,0_1,,,
0.2056512308348651,,,0_2,,,
0.2056512308348651,-4.008750903514556,4.008750903514556,1_0,,,0.0
0.2056512308348651,-3.35369935468777,3.666625876500189,1_1,,,0.08534454628109181
0.2056512308348651,-3.420874955655188,3.6915548183002365,2_0,(-46.65418144500637+0j),(3.420874955655188+0j),0.06794765971370684
0.2310129700083159,,,0_0,,,
0.2310129700083159,,,0_1,,,
0.2310129700083159,,,0_2,,,
0.2310129700083159,-4.162007583948272,4.162007583948272,1_0,,,0.0
0.2310129700083159,-3.4596305095202093,3.7946025375896664,1_1,,,0.08827591948068204
0.2310129700083159,-3.5336122018386678,3.8221536905830344,2_0,(-46.8078576052283+0j),(3.5336122018386678+0j),0.06979283850428464
0.2595024211399736,,,0_0,,,
0.2595024211399736,,,0_1,,,
0.2595024211399736,,,0_2,,,
0.2595024211399736,-4.327172499339908,4.327172499339908,1_0,,,0.0
0.2595024211399736,-3.5722973733565904,3.9316595673395764,1_1,,,0.09140216436036817
0.2595024211399736,-3.654013524128943,3.9622048119997872,2_0,(-46.97715522212745+0j),(3.654013524128943+0j),0.07173261544080857
0.2915053062825176,,,0_0,,,
0.2915053062825176,,,0_1,,,
0.2915053062825176,,,0_2,,,
0.2915053062825176,-4.505627811330514,4.505627811330514,1_0,,,0.0
0.2915053062825176,-3.692389842676066,4.078790796968581,1_1,,,0.09473419293279106
0.2915053062825176,-3.7829151776903287,4.112763330076999,2_0,(-47.1678701578965+0j),(3.7829151776903287+0j),0.07376888545219532
0.3274549162877728,,,0_0,,,
0.3274549162877728,,,0_1,,,
0.3274549162877728,,,0_2,,,
0.3274549162877728,-4.698964665896556,4.698964665896556,1_0,,,0.0
0.3274549162877728,-3.82066292310071,4.237116953301063,1_1,,,0.09828712183077731
0.3274549162877728,-3.921251329157333,4.275025463951852,2_0,(-47.38460965338598+0j),(3.921251329157333+0j),0.07590551733961622
0.3678379771828633,,,0_0,,,
0.3678379771828633,,,0_1,,,
0.3678379771828633,,,0_2,,,
0.3678379771828633,-4.909021305528589,4.909021305528589,1_0,,,0.0
0.3678379771828633,-3.9579571623248735,4.407912888910383,1_1,,,0.10207908775092356
0.3678379771828633,-4.0700798130772,4.450358282789928,2_0,(-47.63170899848053+0j),(4.0700798130772+0j),0.07814743203445892
0.4132012400115336,,,0_0,,,
0.4132012400115336,,,0_1,,,
0.4132012400115336,,,0_2,,,
0.4132012400115336,-5.1379292201421185,5.1379292201421185,1_0,,,0.0
0.4132012400115336,-4.105231577010863,4.592645128351877,1_1,,,0.1061291560133947
0.4132012400115336,-4.230619530538857,4.64033956244921,2_0,(-47.91445292458914+0j),(4.230619530538857+0j),0.08049921482578891
0.464158883361278,,,0_0,,,
0.464158883361278,,,0_1,,,
0.464158883361278,,,0_2,,,
0.464158883361278,-5.388169156496695,5.388169156496695,1_0,,,0.0
0.464158883361278,-4.2635568733033065,4.792991304154678,1_1,,,0.11046012756009918
0.464158883361278,-4.404259041104914,4.846784115979619,2_0,(-48.23792814255972+0j),(4.404259041104914+0j),0.08296661795310822
0.5214008287999684,,,0_0,,,
0.5214008287999684,,,0_1,,,
0.5214008287999684,,,0_2,,,
0.5214008287999684,-5.662639458637011,5.662639458637011,1_0,,,0.0
0.5214008287999684,-4.434185177195017,5.010907298213354,1_1,,,0.11509335269961336
0.5214008287999684,-4.592628191973696,5.071812556188196,2_0,(-48.609577167942234+0j),(4.592628191973696+0j),0.08555345186805502
0.5857020818056667,,,0_0,,,
0.5857020818056667,,,0_1,,,
0.5857020818056667,,,0_2,,,
0.5857020818056667,-5.9647396502109515,5.9647396502109515,1_0,,,0.0
0.5857020818056667,-4.618553027200088,5.248663293443597,1_1,,,0.12005156951687403
