sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.0642807311728432,,,0_2,,,,0.0654739004308099,1.0,2
0.0642807311728432,-4.046290070180151,4.046290070180151,1_0,,,0.0,0.0804101190541962,0.5683164523241542,1
0.0642807311728432,-0.7540289276382474,1.746716852420915,1_1,,,0.5683164523241542,-0.0155285143732188,0.2371710600871983,2
0.0642807311728432,-1.6164422469792548,2.31004887628268,2_0,-5.383542253568596,1.6164422469792548,0.2101024371710408,0.0106339363574227,0.1624148903219882,2
0.0705480231071864,,,0_0,,,,0.2468638740263444,1.0,0
0.0705480231071864,,,0_1,,,,0.1412143655978145,1.0,1
0.0705480231071864,,,0_2,,,,0.0652973572999432,1.0,2
0.0705480231071864,-4.050815470445399,4.050815470445399,1_0,,,0.0,0.0802725932985197,0.5684449521739169,1
0.0705480231071864,-0.7544228982013709,1.7481498640827011,1_1,,,0.5684449521739169,-0.0154819674588716,0.2370994493353727,2
0.0705480231071864,-1.61789393236177,2.3122687388086383,2_0,-5.387588270448794,1.61789393236177,0.2101199970878158,0.0106202285804804,0.1626440796324489,2
0.0774263682681127,,,0_0,,,,0.2465614190718769,1.0,0
0.0774263682681127,,,0_1,,,,0.1409145269958353,1.0,1
0.0774263682681127,,,0_2,,,,0.0651043054539516,1.0,2
0.0774263682681127,-4.055784573938078,4.055784573938078,1_0,,,0.0,0.0801219936210976,0.5685857613776442,1
0.0774263682681127,-0.7548555081598161,1.7497232139817915,1_1,,,0.5685857613776442,-0.015431019144709,0.237019948790075,2
0.0774263682681127,-1.6194878654472724,2.31470611235443,2_0,-5.392031175406189,1.6194878654472724,0.2101392333717209,0.0106052272639304,0.1628959435168468,2
0.0849753435908644,,,0_0,,,,0.2462301459000069,1.0,0
0.0849753435908644,,,0_1,,,,0.1405863970737597,1.0,1
0.0849753435908644,,,0_2,,,,0.0648931909445827,1.0,2
0.0849753435908644,-4.061241146346459,4.061241146346459,1_0,,,0.0,0.079957112323821,0.568740034513232,1
0.0849753435908644,-0.7553305755956308,1.7514507166068165,1_1,,,0.568740034513232,-0.0153753520071285,0.2369332095297761,2
0.0849753435908644,-1.6212380632601189,2.317382426812572,2_0,-5.396910172922149,1.6212380632601189,0.2101603021015653,0.0105887304483168,0.1631716716991059,2
0.0932603346883219,,,0_0,,,,0.2458673797618695,1.0,0
0.0932603346883219,,,0_1,,,,0.1402274043331053,1.0,1
0.0932603346883219,,,0_2,,,,0.0646624352100018,1.0,2
0.0932603346883219,-4.067233322974899,4.067233322974899,1_0,,,0.0,0.0797766359021379,0.5689090251762154,1
0.0932603346883219,-0.7558523166209049,1.75334757803703,1_1,,,0.5689090251762154,-0.0153145220628382,0.2368380035967074,2
0.0932603346883219,-1.6231599517859865,2.320321259236588,2_0,-5.402268460713913,1.6231599517859865,0.2101833725016781,0.0105706183003376,0.1634738664884467,2
0.1023531021899026,,,0_0,,,,0.245470212037216,1.0,0
0.1023531021899026,,,0_1,,,,0.1398347677029082,1.0,1
0.1023531021899026,,,0_2,,,,0.0644103098932885,1.0,2
0.1023531021899026,-4.073814055484617,4.073814055484617,1_0,,,0.0,0.0795791427053124,0.5690941102314812,1
0.1023531021899026,-0.7564253287443597,1.7554304703300965,1_1,,,0.5690941102314812,-0.0152480816331006,0.2367335548976992,2
0.1023531021899026,-1.62527046378409,2.3235485057088523,2_0,-5.408153386993019,1.62527046378409,0.2102086301747122,0.0105507307814678,0.1638049995248854,2
0.1123324032978027,,,0_0,,,,0.2450354827172619,1.0,0
0.1123324032978027,,,0_1,,,,0.1394054778274967,1.0,1
0.1123324032978027,,,0_2,,,,0.0641349529340911,1.0,2
