sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.023101297000831602,0,1,[0.2489662 1.       ],[1.],"[1.0, 0.24896619631860234, 0.0, 0.0]","[1, 0.24896619631860234, 0.1433051757138407, 0.06664798436070254]","[0.0, 0.0, 0.1433051757138407, 0.06664798436070254]",0.1433051757138407,1.0,,,,,,,
0.023101297000831602,0,2,[0.14330518 0.2489662  1.        ],[1.],"[1.0, 0.24896619631860234, 0.1433051757138407, 0.0]","[1, 0.24896619631860234, 0.1433051757138407, 0.06664798436070254]","[0.0, 0.0, 0.0, 0.06664798436070254]",0.06664798436070254,1.0,,,,,,,
0.023101297000831602,1,0,[1.],[-0.2489662  1.       ],"[1.0, 0.24896619631860234, 0.06198416690935284, 0.015431962267398952]","[1, 0.24896619631860234, 0.1433051757138407, 0.06664798436070254]","[0.0, 0.0, 0.08132100880448784, 0.051216022093303594]",0.08132100880448784,0.5674673534951306,4.016609542928867,-4.016609542928867,[1],,,0.0,[]
0.023101297000831602,1,1,[-0.32663474  1.        ],[-0.57560094  1.        ],"[1.0, 0.24896619631860234, 0.1433051757138407, 0.08248659332086326]","[1, 0.24896619631860234, 0.1433051757138407, 0.06664798436070254]","[0.0, 0.0, 0.0, -0.01583860896016072]",-0.01583860896016072,0.23764573095626268,1.7373147555797366,-0.7514453490428636,[1],,,0.5674673534951307,[0.56746735]
0.023101297000831602,2,0,[1.],[-0.08132101 -0.2489662   1.        ],"[1.0, 0.24896619631860234, 0.1433051757138407, 0.055924326753088775]","[1, 0.24896619631860234, 0.1433051757138407, 0.06664798436070254]","[0.0, 0.0, 0.0, 0.01072365760761377]",0.01072365760761377,0.1608999538467172,2.2954865949523926,-1.60691934968482,[1],-5.357010301786472,1.60691934968482,0.2099862791672106,[]
0.025353644939701117,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2488657612695192, 0.14320502476497352, 0.06658311520002912]","[0.0, 0.2488657612695192, 0.14320502476497352, 0.06658311520002912]",0.2488657612695192,1.0,,,,,,,
0.025353644939701117,0,1,[0.24886576 1.        ],[1.],"[1.0, 0.2488657612695192, 0.0, 0.0]","[1, 0.2488657612695192, 0.14320502476497352, 0.06658311520002912]","[0.0, 0.0, 0.14320502476497352, 0.06658311520002912]",0.14320502476497352,1.0,,,,,,,
0.025353644939701117,0,2,[0.14320502 0.24886576 1.        ],[1.],"[1.0, 0.2488657612695192, 0.14320502476497352, 0.0]","[1, 0.2488657612695192, 0.14320502476497352, 0.06658311520002912]","[0.0, 0.0, 0.0, 0.06658311520002912]",0.06658311520002912,1.0,,,,,,,
0.025353644939701117,1,0,[1.],[-0.24886576  1.        ],"[1.0, 0.2488657612695192, 0.06193416713225732, 0.015413293651962853]","[1, 0.2488657612695192, 0.14320502476497352, 0.06658311520002912]","[0.0, 0.0, 0.08127085763271619, 0.05116982154806626]",0.08127085763271619,0.567514008437183,4.018230530784063,-4.018230530784063,[1],,,0.0,[]
0.025353644939701117,1,1,[-0.32656504  1.        ],[-0.5754308  1.       ],"[1.0, 0.2488657612695192, 0.14320502476497352, 0.08240458234721594]","[1, 0.2488657612695192, 0.14320502476497352, 0.06658311520002912]","[0.0, 0.0, 0.0, -0.015821467147186824]",-0.015821467147186824,0.23761980946154207,1.7378284154341295,-0.7515864454150685,[1],,,0.567514008437183,[0.56751401]
0.025353644939701117,2,0,[1.],[-0.08127086 -0.24886576  1.        ],"[1.0, 0.2488657612695192, 0.14320502476497352, 0.055864361359548115]","[1, 0.2488657612695192, 0.14320502476497352, 0.06658311520002912]","[0.0, 0.0, 0.0, 0.010718753840481002]",0.010718753840481002,0.16098306317269329,2.2962820496340473,-1.6074395275735518,[1],-5.358459175833543,1.6074395275735518,0.20999266731911778,[]
0.027825594022071243,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2487556072078521, 0.14309521207613704, 0.06651201465514707]","[0.0, 0.2487556072078521, 0.14309521207613704, 0.06651201465514707]",0.2487556072078521,1.0,,,,,,,
0.027825594022071243,0,1,[0.24875561 1.        ],[1.],"[1.0, 0.2487556072078521, 0.0, 0.0]","[1, 0.2487556072078521, 0.14309521207613704, 0.06651201465514707]","[0.0, 0.0, 0.14309521207613704, 0.06651201465514707]",0.14309521207613704,1.0,,,,,,,
0.027825594022071243,0,2,[0.14309521 0.24875561 1.        ],[1.],"[1.0, 0.2487556072078521, 0.14309521207613704, 0.0]","[1, 0.2487556072078521, 0.14309521207613704, 0.06651201465514707]","[0.0, 0.0, 0.0, 0.06651201465514707]",0.06651201465514707,1.0,,,,,,,
0.027825594022071243,1,0,[1.],[-0.24875561  1.        ],"[1.0, 0.2487556072078521, 0.06187935211734719, 0.015392835809579189]","[1, 0.2487556072078521, 0.14309521207613704, 0.06651201465514707]","[0.0, 0.0, 0.08121585995878985, 0.05111917884556788]",0.08121585995878985,0.5675651811157534,4.020009885302535,-4.020009885302535,[1],,,0.0,[]
0.027825594022071243,1,1,[-0.32648856  1.        ],[-0.57524417  1.        ],"[1.0, 0.24875560720785206, 0.143095212076137, 0.08231468608466523]","[1, 0.2487556072078521, 0.14309521207613704, 0.06651201465514707]","[0.0, 2.7755575615628914e-17, 2.7755575615628914e-17, -0.01580267142951816]",-0.01580267142951816,0.2375912308693729,1.7383922466636834,-0.7517413363357884,[1],,,0.5675651811157534,[0.56756518]
0.027825594022071243,2,0,[1.],[-0.08121586 -0.24875561  1.        ],"[1.0, 0.2487556072078521, 0.14309521207613704, 0.055798636927492484]","[1, 0.2487556072078521, 0.14309521207613704, 0.06651201465514707]","[0.0, 0.0, 0.0, 0.010713377727654586]",0.010713377727654586,0.1610743229355108,2.297155206691311,-1.6080105209167412,[1],-5.360049662701189,1.6080105209167412,0.20999967329388122,[]
