pole_2,poles,poly_type,remainder,res_2,residues,sigma
,1958.0602602715505,1_0,0.0,,-1958.0602602715505,55.1065306122449
,1117.8784373050814,1_1,0.42908884880281983,,-638.2092655403487,55.1065306122449
-3909.9217024787786,1304.6840216953688,2_0,0.18759897025407427,978.2546641360714,-978.2546641360714,55.1065306122449
,,0_0,,,,57.147142857142896
,,0_1,,,,57.147142857142896
,,0_2,,,,57.147142857142896
,2103.9096663831647,1_0,0.0,,-2103.9096663831647,57.147142857142896
,1198.4988474149409,1_1,0.4303468126199149,,-682.7286885012795,57.147142857142896
-4185.024997724407,1400.0645605398443,2_0,0.18783902959911888,1049.0978028485285,-1049.0978028485285,57.147142857142896
,,0_0,,,,59.187755102040796
,,0_1,,,,59.187755102040796
,,0_2,,,,59.187755102040796
,2255.0587409146688,1_0,0.0,,-2255.0587409146688,59.187755102040796
,1280.3258765661951,1_1,0.4322427822669999,,-726.9142574707873,59.187755102040796
-4459.791448719765,1497.7388035576598,2_0,0.1881993501186371,1121.2033217907317,-1121.2033217907317,59.187755102040796
,,0_0,,,,61.2283673469388
,,0_1,,,,61.2283673469388
,,0_2,,,,61.2283673469388
,2411.508195102157,1_0,0.0,,-2411.508195102157,61.2283673469388
,1363.5979065314525,1_1,0.4345456054012343,,-771.0524287138866,61.2283673469388
-4735.8551729306155,1597.8694481126531,2_0,0.18863459827723508,1194.7595994891299,-1194.7595994891299,61.2283673469388
,,0_0,,,,63.268979591836704
,,0_1,,,,63.268979591836704
,,0_2,,,,63.268979591836704
,2573.2577988057305,1_0,0.0,,-2573.2577988057305,63.268979591836704
,1448.005073007524,1_1,0.4372872109123482,,-814.8109732451328,63.268979591836704
-5011.582330544126,1700.245897936292,2_0,0.18914938710870768,1269.5381957959942,-1269.5381957959942,63.268979591836704
,,0_0,,,,65.30959183673471
,,0_1,,,,65.30959183673471
,,0_2,,,,65.30959183673471
,2740.3078848365576,1_0,0.0,,-2740.3078848365576,65.30959183673471
,1534.5888348378674,1_1,0.4399940082172934,,-859.378942432048,65.30959183673471
-5293.32621956379,1805.5768271220584,2_0,0.1896540591875128,1346.3357785825724,-1346.3357785825724,65.30959183673471
,,0_0,,,,67.3502040816327
,,0_1,,,,67.3502040816327
,,0_2,,,,67.3502040816327
,2912.6586143106238,1_0,0.0,,-2912.6586143106238,67.3502040816327
,1621.697774881577,1_1,0.4432242189614092,,-902.9220452182345,67.3502040816327
-5571.604546658418,1912.7391112775613,2_0,0.1902517152577952,1423.9092185011211,-1423.9092185011211,67.3502040816327
,,0_0,,,,69.3908163265306
,,0_1,,,,69.3908163265306
,,0_2,,,,69.3908163265306
,3090.3101380236135,1_0,0.0,,-3090.3101380236135,69.3908163265306
,1711.0578706603314,1_1,0.4463151611848813,,-947.386801319906,69.3908163265306
-5856.650190718353,2022.9066402689346,2_0,0.19081896706142454,1503.568895390786,-1503.568895390786,69.3908163265306
,,0_0,,,,71.4314285714286
,,0_1,,,,71.4314285714286
,,0_2,,,,71.4314285714286
,3273.262555797399,1_0,0.0,,-3273.262555797399,71.4314285714286
,1802.004545366278,1_1,0.4494775427731331,,-992.0439702490263,71.4314285714286
-6144.73648409813,2135.627298690368,2_0,0.19139469335971165,1584.8176871136664,-1584.8176871136664,71.4314285714286
,,0_0,,,,73.4720408163265
,,0_1,,,,73.4720408163265
,,0_2,,,,73.4720408163265
,3461.5159974285716,1_0,0.0,,-3461.5159974285716,73.4720408163265
,1882.1338492783843,1_1,0.4562689149272892,,-1023.3746801202137,73.4720408163265
-6367.519064217417,2242.465202991037,2_0,0.1926155081803876,1658.4164950534982,-1658.4164950534982,73.4720408163265
,,0_0,,,,75.5126530612245
,,0_1,,,,75.5126530612245
,,0_2,,,,75.5126530612245
,3655.0705372390307,1_0,0.0,,-3655.0705372390307,75.5126530612245
,1977.7371350284216,1_1,0.4589058911781316,,-1070.141912562119,75.5126530612245
-6670.978912998012,2361.299797850781,2_0,0.19308388888096115,1743.9874989473992,-1743.9874989473992,75.5126530612245
,,0_0,,,,77.5532653061225
,,0_1,,,,77.5532653061225
,,0_2,,,,77.5532653061225
,3853.9262495409216,1_0,0.0,,-3853.9262495409216,77.5532653061225
,2077.3006058489154,1_1,0.4609910851053876,,-1119.6835454685452,77.5532653061225
-6990.463427337431,2484.301219506401,2_0,0.1934520599746409,1832.9127387068406,-1832.9127387068406,77.5532653061225
,,0_0,,,,79.5938775510204
,,0_1,,,,79.5938775510204
,,0_2,,,,79.5938775510204
,4058.083223405868,1_0,0.0,,-4058.083223405868,79.5938775510204
,2181.325767445826,1_1,0.4624738707021678,,-1172.519596512778,79.5938775510204
-7328.457320509505,2611.8108121695873,2_0,0.1937126933747204,1925.5561128481693,-1925.5561128481693,79.5938775510204
,,0_0,,,,81.63448979591841
,,0_1,,,,81.63448979591841
,,0_2,,,,81.63448979591841
,4267.54114276503,1_0,0.0,,-4267.54114276503,81.63448979591841
,2286.4092218130154,1_1,0.4642326470151843,,-1224.9834166108315,81.63448979591841
-7666.649991173528,2741.5133457573997,2_0,0.1940205819763132,2019.397907935864,-2019.397907935864,81.63448979591841
,,0_0,,,,83.6751020408163
,,0_1,,,,83.6751020408163
,,0_2,,,,83.6751020408163
