sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
18.3755102040816,2,0,[1.],[-1.19993575e-05 -4.20418699e-03  1.00000000e+00],"[1.0, 0.0042041869860991, 2.967454569768834e-05]",162.495259234244,-123.39791871339276,[1],-512.8629344905211,123.39791871339276,0.18271477248661655,[]
20.4161224489796,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
20.4161224489796,0,1,[0.00346505 1.        ],[1.],"[1.0, 0.0034650453670327, 0.0]",,,,,,,
20.4161224489796,0,2,[2.03319021e-05 3.46504537e-03 1.00000000e+00],[1.],"[1.0, 0.0034650453670327, 2.0331902050438752e-05]",,,,,,,
20.4161224489796,1,0,[1.],[-0.00346505  1.        ],"[1.0, 0.0034650453670327, 1.200653939559478e-05]",288.5965100238651,-288.5965100238651,[1],,,0.0,[]
20.4161224489796,1,1,[-0.00240267  1.        ],[-0.00586772  1.        ],"[1.0, 0.0034650453670327, 2.0331902050438752e-05]",170.42406354490214,-100.64003002931345,[1],,,0.4094728881828503,[0.40947289]
20.4161224489796,2,0,[1.],[-8.32536265e-06 -3.46504537e-03  1.00000000e+00],"[1.0, 0.0034650453670327, 2.0331902050438752e-05]",196.1521543071218,-148.56366404865923,[1],-612.3556892986721,148.56366404865923,0.1837504301579723,[]
22.4567346938776,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
22.4567346938776,0,1,[0.0029022 1.       ],[1.],"[1.0, 0.0029021995033609, 0.0]",,,,,,,
22.4567346938776,0,2,[1.43619137e-05 2.90219950e-03 1.00000000e+00],[1.],"[1.0, 0.0029021995033609, 1.4361913719161665e-05]",,,,,,,
22.4567346938776,1,0,[1.],[-0.0029022  1.       ],"[1.0, 0.0029021995033609, 8.422761957308255e-06]",344.56625012923723,-344.56625012923723,[1],,,0.0,[]
22.4567346938776,1,1,[-0.00204643  1.        ],[-0.00494863  1.        ],"[1.0, 0.0029021995033609, 1.4361913719161666e-05]",202.0760993354796,-118.51059094535997,[1],,,0.41353484486746317,[0.41353484]
22.4567346938776,2,0,[1.],[-5.93915176e-06 -2.90219950e-03  1.00000000e+00],"[1.0, 0.0029021995033609, 1.4361913719161665e-05]",233.23925978841012,-176.28332687132402,[1],-721.8948152839682,176.28332687132402,0.18456395962835437,[]
24.4973469387755,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
24.4973469387755,0,1,[0.00246436 1.        ],[1.],"[1.0, 0.0024643612441909, 0.0]",,,,,,,
24.4973469387755,0,2,[1.04118593e-05 2.46436124e-03 1.00000000e+00],[1.],"[1.0, 0.0024643612441909, 1.0411859252918418e-05]",,,,,,,
