,sigma,residues,poles,poly_type,pole_2,res_2,remainder
78,26.5379591836735,,,0_0,,,
79,26.5379591836735,,,0_1,,,
80,26.5379591836735,,,0_2,,,
81,26.5379591836735,-472.26424441951934,472.26424441951934,1_0,,,0.0
82,26.5379591836735,-159.2418972187927,274.23394076948955,1_1,,,0.4193209754709199
83,26.5379591836735,-239.4940519502087,317.8170962365052,2_0,-971.812381021651,239.4940519502087,0.1857076440741646
84,28.5785714285714,,,0_0,,,
85,28.5785714285714,,,0_1,,,
86,28.5785714285714,,,0_2,,,
87,28.5785714285714,-544.0141311427814,544.0141311427814,1_0,,,0.0
88,28.5785714285714,-181.96408016937625,314.6284014079762,1_1,,,0.4216539913272966
89,28.5785714285714,-274.899275180963,365.2378607665146,2_0,-1111.4146025485106,274.899275180963,0.1861638279895766
90,30.6191836734694,,,0_0,,,
91,30.6191836734694,,,0_1,,,
92,30.6191836734694,,,0_2,,,
93,30.6191836734694,-621.0411070489032,621.0411070489032,1_0,,,0.0
94,30.6191836734694,-206.3429998336736,357.9769336821805,1_1,,,0.423585766515143
95,30.6191836734694,-312.89767494208434,416.13502337872745,2_0,-1261.2458887113164,312.89767494208434,0.1865394274412058
96,32.6597959183673,,,0_0,,,
97,32.6597959183673,,,0_1,,,
98,32.6597959183673,,,0_2,,,
99,32.6597959183673,-703.3502725224399,703.3502725224399,1_0,,,0.0
100,32.6597959183673,-232.2429380768084,404.1634988315191,1_1,,,0.4253737936546765
101,32.6597959183673,-353.40009760843446,470.4309778127933,2_0,-1420.5682567435774,353.40009760843446,0.1868853731669237
102,34.7004081632653,,,0_0,,,
103,34.7004081632653,,,0_1,,,
104,34.7004081632653,,,0_2,,,
105,34.7004081632653,-790.9455110503282,790.9455110503282,1_0,,,0.0
106,34.7004081632653,-259.70508322532635,453.22463500346464,1_1,,,0.4269837445545275
107,34.7004081632653,-396.4350425564256,528.1516804037158,2_0,-1589.6080959783044,396.4350425564256,0.18719547277156
108,36.7410204081633,,,0_0,,,
109,36.7410204081633,,,0_1,,,
110,36.7410204081633,,,0_2,,,
111,36.7410204081633,-883.8298143655818,883.8298143655818,1_0,,,0.0
112,36.7410204081633,-289.03499711194564,505.4282816014626,1_1,,,0.4281384567635773
113,36.7410204081633,-442.2079609208601,589.4803108866793,2_0,-1770.0056143647678,442.2079609208601,0.1874170793681401
114,38.7816326530612,,,0_0,,,
115,38.7816326530612,,,0_1,,,
116,38.7816326530612,,,0_2,,,
117,38.7816326530612,-982.0055126691348,982.0055126691348,1_0,,,0.0
118,38.7816326530612,-320.340570040202,560.8709349850923,1_1,,,0.4288515413109852
119,38.7816326530612,-490.7921863866025,654.4831417316624,2_0,-1962.3271878799587,490.7921863866025,0.1875535956247331
120,40.8222448979592,,,0_0,,,
121,40.8222448979592,,,0_1,,,
122,40.8222448979592,,,0_2,,,
123,40.8222448979592,-1085.4744395673797,1085.4744395673797,1_0,,,0.0
124,40.8222448979592,-353.44706197332096,619.4011232733013,1_1,,,0.4293729076474926
125,40.8222448979592,-542.0714290503223,723.0575702958562,2_0,-2165.629079213272,542.0714290503223,0.187653246897664
126,42.8628571428571,,,0_0,,,
127,42.8628571428571,,,0_1,,,
128,42.8628571428571,,,0_2,,,
129,42.8628571428571,-1194.23805139006,1194.23805139006,1_0,,,0.0
130,42.8628571428571,-388.9482806374419,681.5400478034823,1_1,,,0.4293097201096645
131,42.8628571428571,-596.4442495388078,795.5586738781615,2_0,-2383.0839869071488,596.4442495388078,0.1876411768133292
132,44.9034693877551,,,0_0,,,
133,44.9034693877551,,,0_1,,,
134,44.9034693877551,,,0_2,,,
135,44.9034693877551,-1308.2975162349517,1308.2975162349517,1_0,,,0.0
136,44.9034693877551,-426.7351408108156,747.1924282358343,1_1,,,0.4288818720789735
