,sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error
1944,19.42747747747748,-22.971208023847666,22.971208023847666,1_0,,,0.0,0.0037828223421418,0.6662334452504999
1945,19.42747747747748,-2.5589951711962144,7.6670209605537085,1_1,,,0.6662334452504999,-8.956902414462072e-05,0.1375877920214448
1946,19.42747747747748,-3.7672482062720363,8.72190944589843,1_2,,,0.5158301661760059,,
1947,19.42747747747748,-7.663703755374603,11.49306611140643,2_0,(-23.001075826636136+0j),(7.663703755374603+0j),0.222174065646855,0.000239143102083,0.3673498925213254
1948,19.42747747747748,-3.6398022594430124,8.645828878115198,2_1,(-112.21096622495406+0j),(64.97133956131499+0j),0.5375894628506908,,
1949,19.42747747747748,-5.4102178561776695,9.719211823273248,3_0,(-12.768724571534499+16.346252757677068j),(2.7051089280888347-3.7214839644100204j),0.15741168563472954,,
1950,19.52756756756757,,,0_0,,,,0.0433283489311588,1.0
1951,19.52756756756757,,,0_1,,,,0.005625990613757,1.0
1952,19.52756756756757,,,0_2,,,,0.0006422402255586,1.0
1953,19.52756756756757,,,0_3,,,,,
1954,19.52756756756757,-23.07957779764066,23.07957779764066,1_0,,,0.0,0.0037486447926567,0.66630839793624
1955,19.52756756756757,-2.5699129561755205,7.701461290249897,1_1,,,0.66630839793624,-8.826927150003532e-05,0.137439649506945
1956,19.52756756756757,-3.781843065670767,8.759947430673147,1_2,,,0.5161143874583028,,
1957,19.52756756756757,-7.698705060611757,11.54598930718695,2_0,(-23.104392764360334+0j),(7.698705060611757+0j),0.22218240031856532,0.0002360527515671,0.367545884192785
1958,19.52756756756757,-3.654198025379479,8.683715264369667,2_1,(-112.87221122123641+0j),(65.37440655953588+0j),0.537813403670426,,
1959,19.52756756756757,-5.434043128061511,9.763080667732321,3_0,(-12.82180954862898+16.416930043203j),(2.7170215640307553-3.73782635228606j),0.157424822711768,,
1960,19.627657657657657,,,0_0,,,,0.0431257833936429,1.0
1961,19.627657657657657,,,0_1,,,,0.00557474654896,1.0
1962,19.627657657657657,,,0_2,,,,0.0006336375304653,1.0
1963,19.627657657657657,,,0_3,,,,,
1964,19.627657657657657,-23.187984572296685,23.187984572296685,1_0,,,0.0,0.0037149133556445,0.6663824665423816
1965,19.627657657657657,-2.5808379552069023,7.735918218862928,1_1,,,0.6663824665423816,-8.699399526189552e-05,0.1372929965149209
1966,19.627657657657657,-3.796451283471318,8.798005611924989,1_2,,,0.5163954553879176,,
1967,19.627657657657657,-7.73372154318522,11.59893410538758,2_0,(-23.207760278443754+0j),(7.73372154318522+0j),0.22219063545367143,0.0002330136696187,0.3677396909359262
1968,19.627657657657657,-3.668605577605894,8.721621140013044,2_1,(-113.53380621609448+0j),(65.77768977343872+0j),0.5380349256956948,,
1969,19.627657657657657,-5.457881021460624,9.806969472240404,3_0,(-12.874934140190383+16.48764943780622j),(2.7289405107303115-3.754177686875808j),0.15743780570487187,,
1970,19.72774774774775,,,0_0,,,,0.0429250356780004,1.0
1971,19.72774774774775,,,0_1,,,,0.0055241792186976,1.0
1972,19.72774774774775,,,0_2,,,,0.0006251841178611,1.0
1973,19.72774774774775,,,0_3,,,,,
